# aws-gpu02 BMC SEL 全件 (取得: 2026-09-05 22:18:39 JST)
# BMC: 10.11.12.2
SEL Information
Version          : 1.5 (v1.5, v2 compliant)
Entries          : 138
Free Space       : 7480 bytes 
Percent Used     : 22%
Last Add Time    : 2026年09月05日 21時53分55秒 JST
Last Del Time    : Not Available
Overflow         : false
Supported Cmds   : 'Reserve' 'Get Alloc Info' 
# of Alloc Units : 512
Alloc Unit Size  : 20
# Free Units     : 374
Largest Free Blk : 374
Max Record Size  : 20

   1 | 2019年11月15日 | 16時22分30秒 JST | Unknown #0xff |  | Asserted
  43 | 2026年08月17日 | 22時51分51秒 JST | Unknown #0xff |  | Asserted
  44 | 2026年08月17日 | 22時51分51秒 JST | Unknown #0xff |  | Asserted
  45 | 2026年08月17日 | 22時51分51秒 JST | Unknown #0xff |  | Asserted
  46 | 2026年08月17日 | 22時51分51秒 JST | Unknown #0xff |  | Asserted
  47 | 2026年08月17日 | 22時51分51秒 JST | Unknown #0xff |  | Asserted
  48 | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  49 | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  4a | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  4b | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  4c | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  4d | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  4e | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  4f | 2026年08月18日 | 17時25分16秒 JST | Unknown #0xff |  | Asserted
  50 | 2026年08月18日 | 17時25分17秒 JST | Unknown #0xff |  | Asserted
  51 | 2026年08月29日 | 19時58分39秒 JST | Unknown #0xff |  | Asserted
  52 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  53 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  54 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  55 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  56 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  57 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  58 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  59 | 2026年08月29日 | 19時58分40秒 JST | Unknown #0xff |  | Asserted
  5a | 2026年08月29日 | 19時58分41秒 JST | Unknown #0xff |  | Asserted
  5b | 2026年08月29日 | 19時58分41秒 JST | Unknown #0xff |  | Asserted
  5c | 2026年08月29日 | 19時58分41秒 JST | Unknown #0xff |  | Asserted
  5d | 2026年08月29日 | 19時58分41秒 JST | Unknown #0xff |  | Asserted
  5e | 2026年09月02日 | 01時15分26秒 JST | Memory | Uncorrectable ECC (@DIMME2(CPU2)) | Asserted
  5f | 2026年09月02日 | 01時15分26秒 JST | Memory | Uncorrectable ECC (@DIMME2(CPU2)) | Asserted
  60 | 2026年09月02日 | 01時20分07秒 JST | Memory | Uncorrectable ECC (@DIMME2(CPU2)) | Asserted
  61 | 2026年09月02日 | 01時20分08秒 JST | Memory | Uncorrectable ECC (@DIMME1(CPU2)) | Asserted
  62 | 2026年09月02日 | 13時45分16秒 JST | Unknown #0xff |  | Asserted
  63 | 2026年09月02日 | 13時45分16秒 JST | Unknown #0xff |  | Asserted
  64 | 2026年09月02日 | 13時45分16秒 JST | Unknown #0xff |  | Asserted
  65 | 2026年09月02日 | 13時45分16秒 JST | Unknown #0xff |  | Asserted
  66 | 2026年09月02日 | 13時46分08秒 JST | Unknown #0xff |  | Asserted
  67 | 2026年09月02日 | 13時46分08秒 JST | Unknown #0xff |  | Asserted
  68 | 2026年09月02日 | 13時46分08秒 JST | Unknown #0xff |  | Asserted
  69 | 2026年09月02日 | 13時46分08秒 JST | Unknown #0xff |  | Asserted
  6a | 2026年09月02日 | 13時46分08秒 JST | Unknown #0xff |  | Asserted
  6b | 2026年09月02日 | 13時46分08秒 JST | Unknown #0xff |  | Asserted
  6c | 2026年09月02日 | 13時46分08秒 JST | Unknown #0xff |  | Asserted
  6d | 2026年09月02日 | 13時46分09秒 JST | Unknown #0xff |  | Asserted
  6e | 2026年09月02日 | 13時46分09秒 JST | Unknown #0xff |  | Asserted
  6f | 2026年09月02日 | 13時46分09秒 JST | Unknown #0xff |  | Asserted
  70 | 2026年09月02日 | 13時46分09秒 JST | Unknown #0xff |  | Asserted
  71 | 2026年09月02日 | 13時46分09秒 JST | Unknown #0xff |  | Asserted
  72 | 2026年09月02日 | 13時46分09秒 JST | Unknown #0xff |  | Asserted
  73 | 2026年09月02日 | 13時46分23秒 JST | Memory | Uncorrectable ECC (@DIMMS-(CPU4)) | Asserted
  74 | 2026年09月02日 | 13時46分23秒 JST | Memory | Uncorrectable ECC (@DIMM[-(CPU4)) | Asserted
  75 | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  76 | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  77 | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  78 | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  79 | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  7a | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  7b | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  7c | 2026年09月03日 | 03時10分13秒 JST | Unknown #0xff |  | Asserted
  7d | 2026年09月03日 | 03時10分14秒 JST | Unknown #0xff |  | Asserted
  7e | 2026年09月03日 | 03時10分14秒 JST | Unknown #0xff |  | Asserted
  7f | 2026年09月03日 | 03時10分14秒 JST | Unknown #0xff |  | Asserted
  80 | 2026年09月03日 | 03時10分14秒 JST | Unknown #0xff |  | Asserted
  81 | 2026年09月03日 | 03時10分14秒 JST | Unknown #0xff |  | Asserted
  82 | 2026年09月05日 | 20時29分04秒 JST | Memory | Uncorrectable ECC (@DIMME1(CPU2)) | Asserted
  83 | 2026年09月05日 | 20時29分04秒 JST | Memory | Uncorrectable ECC (@DIMME1(CPU2)) | Asserted
  84 | 2026年09月05日 | 20時42分36秒 JST | Memory | Uncorrectable ECC (@DIMME1(CPU2)) | Asserted
  85 | 2026年09月05日 | 21時00分17秒 JST | Memory | Uncorrectable ECC (@DIMME1(CPU2)) | Asserted
  86 | 2026年09月05日 | 21時00分17秒 JST | Memory | Uncorrectable ECC (@DIMME1(CPU2)) | Asserted
  87 | 2026年09月05日 | 21時53分55秒 JST | Unknown #0xff |  | Asserted
  88 | 2026年09月05日 | 21時53分55秒 JST | Unknown #0xff |  | Asserted
  89 | 2026年09月05日 | 21時53分55秒 JST | Unknown #0xff |  | Asserted
  8a | 2026年09月05日 | 21時53分55秒 JST | Unknown #0xff |  | Asserted
