epoch,iso_ts,server,chassis_w,gpu_total_w,gpu_busy_count,gpu_w,gpu_util,status
1787054733,2026-08-18T21:05:33,aws-gpu02,612,256.48,0,45.39;44.19;44.41;39.87;42.27;40.35,0;0;0;0;0;0,ok
1787054743,2026-08-18T21:05:43,aws-gpu02,547,350.90,1,45.86;45.15;137.86;39.87;42.03;40.13,0;0;96;0;0;0,ok
1787054754,2026-08-18T21:05:54,aws-gpu02,613,256.23,0,45.14;44.19;44.41;39.87;42.27;40.35,0;0;0;0;0;0,ok
1787054764,2026-08-18T21:06:04,aws-gpu02,542,344.36,1,134.74;43.92;43.68;39.86;42.03;40.13,98;0;0;0;0;0,ok
1787054774,2026-08-18T21:06:14,aws-gpu02,564,333.59,1,45.39;44.19;44.68;39.87;43.01;116.45,0;0;0;0;0;98,ok
1787054784,2026-08-18T21:06:24,aws-gpu02,618,255.77,0,45.14;43.95;44.19;39.87;42.27;40.35,0;0;0;0;0;0,ok
1787054794,2026-08-18T21:06:34,aws-gpu02,548,342.99,1,46.10;130.67;44.17;39.87;42.05;40.13,0;97;0;0;0;0,ok
1787054804,2026-08-18T21:06:44,aws-gpu02,542,338.52,1,45.15;44.43;44.43;40.11;130.04;34.36,0;0;0;0;97;0,ok
1787054814,2026-08-18T21:06:54,aws-gpu02,611,255.29,0,45.14;43.95;44.17;39.87;42.05;40.11,0;0;0;0;0;0,ok
1787054824,2026-08-18T21:07:04,aws-gpu02,564,255.06,0,45.15;43.95;44.17;39.63;42.03;40.13,0;0;0;0;0;0,ok
1787054834,2026-08-18T21:07:14,aws-gpu02,516,408.47,1,45.60;44.40;196.67;39.62;42.05;40.13,0;0;97;0;0;0,ok
1787054844,2026-08-18T21:07:24,aws-gpu02,552,323.72,1,38.67;44.19;44.43;39.87;42.99;113.57,0;0;0;0;0;99,ok
1787054854,2026-08-18T21:07:34,aws-gpu02,561,255.29,0,45.14;43.95;44.17;39.87;42.03;40.13,0;0;0;0;0;0,ok
1787054864,2026-08-18T21:07:44,aws-gpu02,536,254.81,0,44.90;43.95;44.17;39.63;42.03;40.13,0;0;0;0;0;0,ok
1787054874,2026-08-18T21:07:54,aws-gpu02,513,372.15,1,162.18;43.95;44.19;39.65;42.05;40.13,99;0;0;0;0;0,ok
1787054884,2026-08-18T21:08:04,aws-gpu02,513,357.25,2,45.14;44.67;45.36;140.18;42.03;39.87,0;0;32;77;0;0,ok
1787054894,2026-08-18T21:08:14,aws-gpu02,567,244.03,0,39.14;38.19;44.19;39.87;42.27;40.37,0;0;0;0;0;0,ok
1787054904,2026-08-18T21:08:24,aws-gpu02,589,254.34,0,44.91;43.95;43.69;39.63;42.03;40.13,0;0;0;0;0;0,ok
1787054914,2026-08-18T21:08:34,aws-gpu02,575,254.35,0,44.90;43.95;43.93;39.63;41.81;40.13,0;0;0;0;0;0,ok
1787054924,2026-08-18T21:08:44,aws-gpu02,553,338.30,1,128.59;43.95;44.17;39.65;41.81;40.13,98;0;0;0;0;0,ok
1787054934,2026-08-18T21:08:54,aws-gpu02,540,402.94,1,45.14;44.19;44.65;40.58;188.52;39.86,0;0;0;97;0;0,ok
1787054944,2026-08-18T21:09:04,aws-gpu02,541,343.26,1,45.15;43.95;44.17;39.89;42.77;127.33,0;0;0;0;0;100,ok
1787054954,2026-08-18T21:09:14,aws-gpu02,572,255.08,0,44.91;43.95;44.17;39.63;42.29;40.13,0;0;0;0;0;0,ok
1787054964,2026-08-18T21:09:24,aws-gpu02,553,258.90,6,45.39;44.91;44.65;40.35;42.77;40.83,8;9;6;6;7;6,ok
1787054974,2026-08-18T21:09:34,aws-gpu02,553,286.91,6,48.26;48.96;48.96;45.63;48.75;46.35,8;9;7;4;7;6,ok
1787054984,2026-08-18T21:09:44,aws-gpu02,552,286.43,6,48.02;48.96;48.72;45.15;48.99;46.59,8;9;7;6;7;6,ok
1787054994,2026-08-18T21:09:54,aws-gpu02,518,222.92,6,38.91;38.67;38.43;34.82;37.25;34.84,8;9;8;7;8;7,ok
1787055005,2026-08-18T21:10:05,aws-gpu02,508,221.90,6,38.91;38.43;38.40;34.82;36.74;34.60,8;10;8;6;8;7,ok
1787055015,2026-08-18T21:10:15,aws-gpu02,508,225.09,6,39.15;38.67;38.91;35.30;37.49;35.57,8;10;4;6;8;7,ok
1787055025,2026-08-18T21:10:25,aws-gpu02,506,230.83,6,39.63;39.39;39.87;36.02;39.15;36.77,8;10;8;7;8;7,ok
1787055035,2026-08-18T21:10:35,aws-gpu02,506,326.24,6,49.92;54.01;56.44;49.21;63.85;52.81,8;10;4;3;8;7,ok
1787055045,2026-08-18T21:10:45,aws-gpu02,490,227.24,6,39.63;38.67;39.39;35.54;37.73;36.28,8;10;8;3;8;7,ok
1787055055,2026-08-18T21:10:55,aws-gpu02,497,256.74,6,42.27;42.51;42.48;40.35;44.91;44.22,8;10;4;3;8;7,ok
1787055065,2026-08-18T21:11:05,aws-gpu02,498,330.78,6,48.72;55.21;56.40;54.25;66.97;49.23,8;9;8;7;8;6,ok
1787055075,2026-08-18T21:11:15,aws-gpu02,496,245.69,6,61.68;39.39;38.41;34.84;36.77;34.60,8;5;8;7;8;3,ok
1787055085,2026-08-18T21:11:25,aws-gpu02,498,226.05,6,39.87;39.15;38.91;35.54;37.25;35.33,4;10;8;7;4;7,ok
1787055095,2026-08-18T21:11:35,aws-gpu02,499,226.50,6,39.63;38.91;39.12;35.78;37.49;35.57,8;10;5;4;8;7,ok
1787055105,2026-08-18T21:11:45,aws-gpu02,500,224.36,6,39.39;38.67;38.67;35.54;37.25;34.84,4;10;8;7;8;7,ok
1787055115,2026-08-18T21:11:55,aws-gpu02,501,321.24,6,51.88;57.81;60.49;59.05;55.96;36.05,8;6;8;7;8;3,ok
1787055125,2026-08-18T21:12:05,aws-gpu02,501,234.67,6,40.59;40.35;40.32;36.75;39.89;36.77,8;10;6;6;8;7,ok
1787055135,2026-08-18T21:12:15,aws-gpu02,501,323.37,6,48.26;52.33;51.61;51.88;61.69;57.60,8;10;8;7;8;7,ok
1787055145,2026-08-18T21:12:25,aws-gpu02,501,229.12,6,43.22;39.15;39.12;35.06;37.49;35.08,8;10;8;7;8;6,ok
1787055155,2026-08-18T21:12:35,aws-gpu02,502,228.92,6,40.11;39.87;39.63;35.54;37.96;35.81,8;5;8;7;8;5,ok
1787055165,2026-08-18T21:12:45,aws-gpu02,503,280.23,6,44.18;45.37;47.56;43.69;49.23;50.20,7;5;8;7;7;7,ok
1787055175,2026-08-18T21:12:55,aws-gpu02,469,225.05,0,39.62;39.15;38.91;35.06;37.22;35.09,0;0;0;0;0;0,ok
1787055185,2026-08-18T21:13:05,aws-gpu02,469,224.84,0,39.63;39.15;38.91;35.06;37.01;35.08,0;0;0;0;0;0,ok
1787055195,2026-08-18T21:13:15,aws-gpu02,470,225.08,0,39.63;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055205,2026-08-18T21:13:25,aws-gpu02,470,224.84,0,39.63;39.15;38.91;35.06;37.25;34.84,0;0;0;0;0;0,ok
1787055215,2026-08-18T21:13:35,aws-gpu02,471,225.09,0,39.63;39.15;38.91;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055225,2026-08-18T21:13:45,aws-gpu02,471,225.07,0,39.62;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055235,2026-08-18T21:13:55,aws-gpu02,470,225.09,0,39.63;39.15;38.91;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055245,2026-08-18T21:14:05,aws-gpu02,471,225.08,0,39.63;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055255,2026-08-18T21:14:15,aws-gpu02,471,224.82,0,39.63;38.91;38.88;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055265,2026-08-18T21:14:25,aws-gpu02,470,224.85,0,39.63;39.15;38.91;35.06;37.25;34.85,0;0;0;0;0;0,ok
1787055275,2026-08-18T21:14:35,aws-gpu02,470,225.08,0,39.63;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055285,2026-08-18T21:14:45,aws-gpu02,470,225.05,0,39.62;39.15;38.89;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055295,2026-08-18T21:14:55,aws-gpu02,471,225.08,0,39.63;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055305,2026-08-18T21:15:05,aws-gpu02,470,225.08,0,39.63;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055315,2026-08-18T21:15:15,aws-gpu02,470,225.08,0,39.63;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055325,2026-08-18T21:15:25,aws-gpu02,471,225.05,0,39.63;39.15;38.91;35.06;37.22;35.08,0;0;0;0;0;0,ok
1787055335,2026-08-18T21:15:35,aws-gpu02,471,225.29,0,39.87;39.15;38.91;35.06;37.22;35.08,0;0;0;0;0;0,ok
1787055345,2026-08-18T21:15:45,aws-gpu02,472,225.07,0,39.62;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055355,2026-08-18T21:15:55,aws-gpu02,472,225.09,0,39.63;39.15;38.91;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055365,2026-08-18T21:16:05,aws-gpu02,471,225.06,0,39.63;39.15;38.91;35.06;37.22;35.09,0;0;0;0;0;0,ok
1787055375,2026-08-18T21:16:15,aws-gpu02,471,225.09,0,39.63;39.15;38.91;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055385,2026-08-18T21:16:25,aws-gpu02,472,225.09,0,39.63;39.15;38.91;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055395,2026-08-18T21:16:35,aws-gpu02,471,225.05,0,39.63;39.15;38.88;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055405,2026-08-18T21:16:45,aws-gpu02,470,225.33,0,39.87;39.15;38.91;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055415,2026-08-18T21:16:55,aws-gpu02,471,225.33,0,39.87;39.15;38.91;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055425,2026-08-18T21:17:05,aws-gpu02,471,225.33,0,39.63;39.15;39.15;35.06;37.25;35.09,0;0;0;0;0;0,ok
1787055435,2026-08-18T21:17:15,aws-gpu02,471,225.53,0,39.87;39.15;39.15;35.06;37.22;35.08,0;0;0;0;0;0,ok
1787055445,2026-08-18T21:17:25,aws-gpu02,471,225.08,0,39.63;39.15;38.91;35.06;37.25;35.08,0;0;0;0;0;0,ok
1787055455,2026-08-18T21:17:35,aws-gpu02,456,187.40,0,33.16;32.42;32.18;29.32;31.24;29.08,0;0;0;0;0;0,ok
1787055465,2026-08-18T21:17:45,aws-gpu02,387,183.06,0,32.66;31.48;31.46;28.34;30.52;28.60,0;0;0;0;0;0,ok
1787055475,2026-08-18T21:17:55,aws-gpu02,427,223.17,0,39.15;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055485,2026-08-18T21:18:05,aws-gpu02,428,223.64,0,39.62;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055495,2026-08-18T21:18:15,aws-gpu02,431,223.65,0,39.63;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055505,2026-08-18T21:18:25,aws-gpu02,439,223.39,0,39.62;38.43;38.43;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055516,2026-08-18T21:18:36,aws-gpu02,429,223.65,0,39.63;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055526,2026-08-18T21:18:46,aws-gpu02,430,223.65,0,39.63;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055536,2026-08-18T21:18:56,aws-gpu02,428,223.65,0,39.63;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055546,2026-08-18T21:19:06,aws-gpu02,428,223.88,0,39.87;38.43;38.67;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055556,2026-08-18T21:19:16,aws-gpu02,432,223.65,0,39.63;38.43;38.43;35.06;37.25;34.85,0;0;0;0;0;0,ok
1787055566,2026-08-18T21:19:26,aws-gpu02,437,223.88,0,39.87;38.43;38.67;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055576,2026-08-18T21:19:36,aws-gpu02,429,223.66,0,39.63;38.43;38.67;35.07;37.25;34.61,0;0;0;0;0;0,ok
1787055586,2026-08-18T21:19:46,aws-gpu02,427,223.41,0,39.63;38.43;38.67;35.07;37.01;34.60,0;0;0;0;0;0,ok
1787055596,2026-08-18T21:19:56,aws-gpu02,444,223.88,0,39.63;38.43;38.67;35.06;37.25;34.84,0;0;0;0;0;0,ok
1787055606,2026-08-18T21:20:06,aws-gpu02,428,223.86,0,39.87;38.43;38.64;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055616,2026-08-18T21:20:16,aws-gpu02,440,223.88,0,39.63;38.43;38.67;35.06;37.25;34.84,0;0;0;0;0;0,ok
1787055626,2026-08-18T21:20:26,aws-gpu02,468,223.65,0,39.63;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055636,2026-08-18T21:20:36,aws-gpu02,468,223.64,0,39.86;38.43;38.43;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055646,2026-08-18T21:20:46,aws-gpu02,467,223.89,0,39.87;38.43;38.67;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055656,2026-08-18T21:20:56,aws-gpu02,469,228.42,0,44.43;38.43;38.67;35.06;37.22;34.61,0;0;0;0;0;0,ok
1787055666,2026-08-18T21:21:06,aws-gpu02,473,228.91,0,45.14;38.43;38.43;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055676,2026-08-18T21:21:16,aws-gpu02,476,229.87,1,45.86;38.43;38.67;35.06;37.25;34.60,58;0;0;0;0;0,ok
1787055686,2026-08-18T21:21:26,aws-gpu02,476,229.40,0,45.39;38.43;38.67;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055696,2026-08-18T21:21:36,aws-gpu02,475,229.39,0,45.38;38.43;38.67;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055706,2026-08-18T21:21:46,aws-gpu02,473,229.16,0,40.11;43.71;38.43;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055716,2026-08-18T21:21:56,aws-gpu02,475,229.40,0,40.11;43.95;38.43;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055726,2026-08-18T21:22:06,aws-gpu02,476,229.16,0,39.87;43.95;38.43;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055736,2026-08-18T21:22:16,aws-gpu02,477,229.39,1,39.86;43.95;38.67;35.06;37.25;34.60,0;63;0;0;0;0,ok
1787055746,2026-08-18T21:22:26,aws-gpu02,477,230.36,0,39.87;44.19;39.39;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055756,2026-08-18T21:22:36,aws-gpu02,477,229.87,0,39.87;38.91;44.17;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055766,2026-08-18T21:22:46,aws-gpu02,477,229.86,0,39.87;38.91;44.17;35.06;37.25;34.60,0;0;0;0;0;0,ok
1787055776,2026-08-18T21:22:56,aws-gpu02,476,229.89,0,39.87;38.91;44.19;35.06;37.25;34.61,0;0;0;0;0;0,ok
1787055786,2026-08-18T21:23:06,aws-gpu02,480,234.18,0,39.86;38.91;44.17;39.39;37.25;34.60,0;0;0;0;0;0,ok
1787055796,2026-08-18T21:23:16,aws-gpu02,483,229.66,0,39.87;38.91;39.15;39.63;37.25;34.85,0;0;0;0;0;0,ok
1787055806,2026-08-18T21:23:26,aws-gpu02,476,229.18,0,39.87;38.91;38.91;39.63;37.25;34.61,0;0;0;0;0;0,ok
1787055816,2026-08-18T21:23:36,aws-gpu02,479,232.27,1,40.11;38.91;38.91;39.63;40.11;34.60,0;0;0;0;67;0,ok
1787055826,2026-08-18T21:23:46,aws-gpu02,482,234.20,0,39.87;38.67;38.91;39.63;42.51;34.61,0;0;0;0;0;0,ok
1787055836,2026-08-18T21:23:56,aws-gpu02,479,230.35,0,40.11;38.91;38.91;35.30;42.51;34.61,0;0;0;0;0;0,ok
1787055846,2026-08-18T21:24:06,aws-gpu02,477,235.63,0,40.11;38.67;38.91;35.30;42.75;39.89,0;0;0;0;0;0,ok
1787055856,2026-08-18T21:24:16,aws-gpu02,482,235.63,0,40.11;38.67;38.91;35.30;42.51;40.13,0;0;0;0;0;0,ok
1787055866,2026-08-18T21:24:26,aws-gpu02,479,230.37,0,39.87;38.91;38.91;35.30;37.49;39.89,0;0;0;0;0;0,ok
1787055876,2026-08-18T21:24:36,aws-gpu02,488,229.86,0,39.87;38.43;38.88;35.30;37.49;39.89,0;0;0;0;0;0,ok
1787055886,2026-08-18T21:24:46,aws-gpu02,491,230.35,0,39.63;38.91;38.91;35.06;37.25;40.59,0;0;0;0;0;0,ok
1787055896,2026-08-18T21:24:56,aws-gpu02,488,222.91,0,39.38;38.43;38.67;34.82;37.01;34.60,0;0;0;0;0;0,ok
1787055906,2026-08-18T21:25:06,aws-gpu02,481,222.42,0,39.39;38.43;38.64;34.82;36.77;34.37,0;0;0;0;0;0,ok
1787055916,2026-08-18T21:25:16,aws-gpu02,478,221.25,0,38.91;38.43;38.19;34.82;36.53;34.37,0;0;0;0;0;0,ok
1787055926,2026-08-18T21:25:26,aws-gpu02,477,220.53,0,38.67;38.19;38.19;34.58;36.53;34.37,0;0;0;0;0;0,ok
1787055936,2026-08-18T21:25:36,aws-gpu02,476,219.78,0,38.67;38.19;37.94;34.58;36.28;34.12,0;0;0;0;0;0,ok
1787055946,2026-08-18T21:25:46,aws-gpu02,476,219.54,0,38.67;37.95;37.94;34.58;36.28;34.12,0;0;0;0;0;0,ok
1787055956,2026-08-18T21:25:56,aws-gpu02,476,219.30,0,38.43;37.95;37.94;34.58;36.28;34.12,0;0;0;0;0;0,ok
1787055966,2026-08-18T21:26:06,aws-gpu02,473,218.83,0,38.43;37.95;37.71;34.34;36.28;34.12,0;0;0;0;0;0,ok
