epoch,iso_ts,server,chassis_w,gpu_total_w,gpu_busy_count,gpu_w,gpu_util,status
1787054541,2026-08-18T21:02:21,aws-gpu01,487,268.69,0,36.25;39.47;41.42;36.47;37.95;37.73;39.40,0;0;0;0;0;0;0,ok
1787054551,2026-08-18T21:02:31,aws-gpu01,486,268.90,0,36.49;39.45;41.42;36.47;38.19;37.48;39.40,0;0;0;0;0;0;0,ok
1787054561,2026-08-18T21:02:41,aws-gpu01,482,268.66,0,36.49;39.45;41.18;36.47;38.19;37.48;39.40,0;0;0;0;0;0;0,ok
1787054571,2026-08-18T21:02:51,aws-gpu01,489,269.40,0,36.49;39.45;41.42;36.47;38.19;37.73;39.65,0;0;0;0;0;0;0,ok
1787054581,2026-08-18T21:03:01,aws-gpu01,502,268.91,0,36.49;39.45;41.42;36.47;38.20;37.48;39.40,0;0;0;0;0;0;0,ok
1787054591,2026-08-18T21:03:11,aws-gpu01,481,269.02,0,36.51;39.47;41.42;36.49;38.22;37.48;39.43,0;0;0;0;0;0;0,ok
1787054601,2026-08-18T21:03:21,aws-gpu01,481,268.91,0,36.49;39.21;41.42;36.47;38.19;37.73;39.40,0;0;0;0;0;0;0,ok
1787054611,2026-08-18T21:03:31,aws-gpu01,484,268.93,0,36.49;39.45;41.42;36.47;38.22;37.48;39.40,0;0;0;0;0;0;0,ok
1787054621,2026-08-18T21:03:41,aws-gpu01,580,293.06,0,36.49;39.70;40.93;42.38;44.11;43.40;46.05,0;0;0;0;0;0;0,ok
1787054631,2026-08-18T21:03:51,aws-gpu01,642,454.26,1,42.87;186.93;48.79;42.36;44.11;43.40;45.80,0;96;0;0;0;0;0,ok
1787054641,2026-08-18T21:04:01,aws-gpu01,732,318.45,0,42.65;46.60;50.79;42.63;44.85;43.89;47.04,0;0;0;0;0;0;0,ok
1787054651,2026-08-18T21:04:11,aws-gpu01,682,369.14,7,46.11;52.02;55.48;49.75;51.75;53.72;60.31,6;12;6;8;6;8;6,ok
1787054661,2026-08-18T21:04:21,aws-gpu01,682,327.32,7,43.40;47.34;51.78;44.11;46.08;45.62;48.99,6;12;6;8;6;8;6,ok
1787054671,2026-08-18T21:04:31,aws-gpu01,630,275.34,7,36.99;40.69;41.92;37.21;39.18;38.71;40.64,7;9;6;9;7;9;7,ok
1787054681,2026-08-18T21:04:41,aws-gpu01,615,277.63,7,36.74;40.96;42.19;37.70;39.45;39.21;41.38,7;9;6;9;7;8;6,ok
1787054691,2026-08-18T21:04:51,aws-gpu01,542,269.98,0,36.51;39.72;41.18;36.72;38.22;37.73;39.90,0;0;0;0;0;0;0,ok
1787054701,2026-08-18T21:05:01,aws-gpu01,681,311.08,0,41.18;45.62;47.84;42.38;44.36;43.15;46.55,0;0;0;0;0;0;0,ok
1787054711,2026-08-18T21:05:11,aws-gpu01,609,400.44,1,42.14;46.11;50.79;127.87;44.11;43.12;46.30,0;0;0;97;0;0;0,ok
1787054721,2026-08-18T21:05:21,aws-gpu01,683,309.34,0,41.42;45.61;47.34;42.14;44.11;43.15;45.57,0;0;0;0;0;0;0,ok
1787054731,2026-08-18T21:05:31,aws-gpu01,616,442.64,1,42.40;56.18;168.39;42.11;44.11;43.15;46.30,0;97;0;0;0;0;0,ok
1787054741,2026-08-18T21:05:41,aws-gpu01,669,376.07,1,41.92;45.64;49.81;42.38;44.36;44.14;107.82,0;0;0;0;0;0;97,ok
1787054751,2026-08-18T21:05:51,aws-gpu01,746,313.04,0,41.92;45.37;49.81;42.38;44.11;43.15;46.30,0;0;0;0;0;0;0,ok
1787054761,2026-08-18T21:06:01,aws-gpu01,608,380.54,2,41.92;46.11;48.82;129.10;37.95;37.48;39.16,0;0;18;97;0;0;0,ok
1787054771,2026-08-18T21:06:11,aws-gpu01,735,314.29,0,42.16;45.62;49.81;42.14;44.36;43.65;46.55,0;0;0;0;0;0;0,ok
1787054781,2026-08-18T21:06:21,aws-gpu01,748,312.30,0,41.92;45.37;49.81;42.14;44.11;42.90;46.05,0;0;0;0;0;0;0,ok
1787054791,2026-08-18T21:06:31,aws-gpu01,666,428.72,1,42.16;46.11;50.30;156.90;44.11;43.12;46.02,0;0;0;98;0;0;0,ok
1787054801,2026-08-18T21:06:41,aws-gpu01,742,314.53,0,41.92;45.86;49.81;42.14;44.60;43.65;46.55,0;0;0;0;0;0;0,ok
1787054811,2026-08-18T21:06:51,aws-gpu01,714,309.34,0,41.92;45.37;47.34;42.38;44.11;43.15;45.07,0;0;0;0;0;0;0,ok
1787054821,2026-08-18T21:07:01,aws-gpu01,740,434.17,1,163.58;45.37;49.53;42.38;44.11;43.15;46.05,81;0;0;0;0;0;0,ok
1787054831,2026-08-18T21:07:11,aws-gpu01,648,423.75,1,41.92;45.61;49.81;42.60;48.77;149.24;45.80,0;0;0;0;98;0;0,ok
1787054841,2026-08-18T21:07:21,aws-gpu01,712,313.78,0,41.92;45.61;49.81;42.38;44.36;43.40;46.30,0;0;0;0;0;0;0,ok
1787054851,2026-08-18T21:07:31,aws-gpu01,747,294.83,0,36.25;45.37;49.81;36.47;37.97;43.15;45.81,0;0;0;0;0;0;0,ok
1787054861,2026-08-18T21:07:41,aws-gpu01,609,393.44,1,42.90;128.52;47.81;42.13;44.11;42.90;45.07,0;99;0;0;0;0;0,ok
1787054871,2026-08-18T21:07:51,aws-gpu01,612,457.67,1,42.16;46.11;50.52;185.63;44.11;43.12;46.02,0;0;0;96;0;0;0,ok
1787054881,2026-08-18T21:08:01,aws-gpu01,645,419.21,2,42.16;45.61;49.81;42.38;44.36;44.61;150.28,0;0;0;0;0;56;5,ok
1787054891,2026-08-18T21:08:11,aws-gpu01,713,313.01,0,41.92;45.37;49.78;42.38;44.11;43.15;46.30,0;0;0;0;0;0;0,ok
1787054901,2026-08-18T21:08:21,aws-gpu01,711,267.59,0,36.27;39.23;40.96;36.49;37.97;37.75;38.92,0;0;0;0;0;0;0,ok
1787054911,2026-08-18T21:08:31,aws-gpu01,622,404.51,1,42.90;138.11;49.04;42.38;44.11;43.15;44.82,0;97;0;0;0;0;0,ok
1787054921,2026-08-18T21:08:41,aws-gpu01,618,398.12,2,42.16;46.11;51.04;125.74;44.11;43.15;45.81,0;0;12;45;0;0;0,ok
1787054931,2026-08-18T21:08:51,aws-gpu01,716,414.78,1,41.89;45.61;49.81;42.60;44.83;144.26;45.78,0;0;0;0;0;98;0,ok
1787054941,2026-08-18T21:09:01,aws-gpu01,755,313.05,0,41.92;45.62;49.81;42.38;44.11;43.15;46.06,0;0;0;0;0;0;0,ok
1787054951,2026-08-18T21:09:11,aws-gpu01,685,303.69,0,41.92;45.37;47.59;36.72;44.12;43.15;44.82,0;0;0;0;0;0;0,ok
1787054961,2026-08-18T21:09:21,aws-gpu01,685,432.81,7,48.05;54.95;58.89;57.59;60.56;71.39;81.38,7;9;6;9;5;9;7,ok
1787054971,2026-08-18T21:09:31,aws-gpu01,681,320.91,7,42.65;46.35;50.54;43.37;45.59;44.88;47.53,7;8;6;7;7;9;7,ok
1787054981,2026-08-18T21:09:41,aws-gpu01,680,456.61,7,58.89;75.61;76.76;73.79;71.35;53.91;46.30,7;9;6;9;7;7;7,ok
1787054991,2026-08-18T21:09:51,aws-gpu01,664,329.07,7,59.14;49.07;50.06;42.63;37.97;43.65;46.55,8;9;6;9;7;9;7,ok
1787055001,2026-08-18T21:10:01,aws-gpu01,605,289.11,7,36.98;41.18;42.41;38.93;41.15;42.90;45.56,8;9;3;9;5;9;7,ok
1787055011,2026-08-18T21:10:11,aws-gpu01,609,290.61,7,37.23;41.18;42.17;39.18;41.40;42.90;46.55,7;9;7;9;8;5;7,ok
1787055021,2026-08-18T21:10:21,aws-gpu01,602,269.44,7,36.25;39.72;40.69;36.72;38.44;37.97;39.65,8;9;7;9;8;9;3,ok
1787055031,2026-08-18T21:10:31,aws-gpu01,612,273.39,7,36.49;39.95;40.93;37.21;39.21;38.96;40.64,8;9;7;9;8;9;5,ok
1787055041,2026-08-18T21:10:41,aws-gpu01,610,269.94,7,36.25;39.72;40.69;36.72;38.44;38.22;39.90,8;9;7;10;8;9;7,ok
1787055051,2026-08-18T21:10:51,aws-gpu01,602,284.21,7,37.23;41.18;41.92;38.69;40.42;41.42;43.35,8;9;7;9;8;9;3,ok
1787055061,2026-08-18T21:11:01,aws-gpu01,605,270.53,7,36.27;39.72;40.71;36.98;38.71;37.99;40.15,8;9;7;9;8;9;7,ok
1787055071,2026-08-18T21:11:11,aws-gpu01,605,279.75,7,36.49;40.19;41.42;37.95;39.92;40.93;42.85,6;9;7;10;8;6;7,ok
1787055081,2026-08-18T21:11:21,aws-gpu01,589,311.01,7,60.37;50.03;48.57;36.72;38.19;37.48;39.65,8;9;7;9;8;9;4,ok
1787055091,2026-08-18T21:11:31,aws-gpu01,591,285.23,7,52.77;39.72;40.69;36.47;38.20;37.73;39.65,8;9;7;9;8;9;7,ok
1787055101,2026-08-18T21:11:41,aws-gpu01,596,322.09,7,56.68;69.71;43.40;36.72;37.95;37.73;39.90,6;9;7;9;8;8;7,ok
1787055111,2026-08-18T21:11:51,aws-gpu01,594,287.41,7,36.98;41.18;42.17;39.43;40.66;42.41;44.58,7;5;7;6;8;7;7,ok
1787055121,2026-08-18T21:12:01,aws-gpu01,595,277.35,7,36.74;40.71;41.67;38.19;39.21;39.21;41.62,8;10;7;9;8;9;7,ok
1787055131,2026-08-18T21:12:11,aws-gpu01,596,363.24,7,40.44;46.85;48.33;49.53;50.52;60.62;66.95,8;9;7;9;8;9;4,ok
1787055141,2026-08-18T21:12:21,aws-gpu01,599,310.51,7,62.56;52.52;41.42;37.46;38.44;37.97;40.14,8;9;7;9;8;9;7,ok
1787055151,2026-08-18T21:12:31,aws-gpu01,601,314.47,7,38.71;43.65;44.63;43.62;45.34;46.58;51.94,8;5;3;5;4;9;7,ok
1787055161,2026-08-18T21:12:41,aws-gpu01,604,352.54,7,51.04;66.51;62.81;55.38;38.44;38.22;40.14,8;6;4;8;4;9;7,ok
1787055171,2026-08-18T21:12:51,aws-gpu01,512,270.70,0,36.49;39.70;41.20;36.98;38.22;37.97;40.14,0;0;0;0;0;0;0,ok
1787055181,2026-08-18T21:13:01,aws-gpu01,495,270.25,0,36.51;39.72;41.18;36.98;38.22;37.99;39.65,0;0;0;0;0;0;0,ok
1787055191,2026-08-18T21:13:11,aws-gpu01,489,270.19,0,36.49;39.72;41.18;36.96;38.22;37.97;39.65,0;0;0;0;0;0;0,ok
1787055201,2026-08-18T21:13:21,aws-gpu01,492,270.42,0,36.49;39.70;41.18;36.96;38.47;37.97;39.65,0;0;0;0;0;0;0,ok
1787055211,2026-08-18T21:13:31,aws-gpu01,480,270.49,0,36.49;39.72;41.42;36.98;38.22;37.99;39.67,0;0;0;0;0;0;0,ok
1787055221,2026-08-18T21:13:41,aws-gpu01,489,270.42,0,36.74;39.70;41.18;36.96;38.22;37.97;39.65,0;0;0;0;0;0;0,ok
1787055231,2026-08-18T21:13:51,aws-gpu01,505,269.99,0,36.49;39.72;41.18;36.96;38.22;37.99;39.43,0;0;0;0;0;0;0,ok
1787055241,2026-08-18T21:14:01,aws-gpu01,496,270.52,0,36.51;39.72;41.18;36.98;38.47;37.99;39.67,0;0;0;0;0;0;0,ok
1787055251,2026-08-18T21:14:11,aws-gpu01,485,270.75,0,36.49;39.72;41.45;36.96;38.22;37.99;39.92,0;0;0;0;0;0;0,ok
1787055261,2026-08-18T21:14:21,aws-gpu01,484,270.43,0,36.51;39.70;41.42;36.96;38.22;37.97;39.65,0;0;0;0;0;0;0,ok
1787055271,2026-08-18T21:14:31,aws-gpu01,487,270.72,0,36.49;39.72;41.42;36.98;38.47;37.99;39.65,0;0;0;0;0;0;0,ok
1787055281,2026-08-18T21:14:41,aws-gpu01,493,270.66,0,36.49;39.70;41.67;36.96;38.22;37.97;39.65,0;0;0;0;0;0;0,ok
1787055291,2026-08-18T21:14:51,aws-gpu01,509,270.65,0,36.49;39.70;41.42;36.96;38.44;37.99;39.65,0;0;0;0;0;0;0,ok
1787055301,2026-08-18T21:15:01,aws-gpu01,486,270.68,0,36.49;39.70;41.42;36.96;38.47;37.97;39.67,0;0;0;0;0;0;0,ok
1787055311,2026-08-18T21:15:11,aws-gpu01,494,270.97,0,36.74;39.72;41.42;36.96;38.47;37.99;39.67,0;0;0;0;0;0;0,ok
1787055321,2026-08-18T21:15:21,aws-gpu01,488,271.22,0,36.74;39.70;41.67;36.98;38.47;37.99;39.67,0;0;0;0;0;0;0,ok
1787055331,2026-08-18T21:15:31,aws-gpu01,497,270.95,0,36.74;39.70;41.42;36.98;38.47;37.99;39.65,0;0;0;0;0;0;0,ok
1787055341,2026-08-18T21:15:41,aws-gpu01,488,270.91,0,36.74;39.70;41.42;36.96;38.47;37.97;39.65,0;0;0;0;0;0;0,ok
1787055351,2026-08-18T21:15:51,aws-gpu01,482,271.02,0,36.51;39.72;41.70;36.96;38.22;37.99;39.92,0;0;0;0;0;0;0,ok
1787055361,2026-08-18T21:16:01,aws-gpu01,479,271.29,0,36.51;39.72;41.70;36.98;38.47;37.99;39.92,0;0;0;0;0;0;0,ok
1787055371,2026-08-18T21:16:11,aws-gpu01,484,271.03,0,36.76;39.72;41.70;36.96;38.22;37.99;39.68,0;0;0;0;0;0;0,ok
1787055381,2026-08-18T21:16:21,aws-gpu01,494,270.97,0,36.49;39.72;41.42;36.96;38.47;37.99;39.92,0;0;0;0;0;0;0,ok
1787055391,2026-08-18T21:16:31,aws-gpu01,491,270.95,0,36.49;39.70;41.42;36.98;38.47;37.99;39.90,0;0;0;0;0;0;0,ok
1787055401,2026-08-18T21:16:41,aws-gpu01,493,270.70,0,36.76;39.70;41.42;36.96;38.22;37.97;39.67,0;0;0;0;0;0;0,ok
1787055411,2026-08-18T21:16:51,aws-gpu01,471,270.93,0,36.49;39.70;41.42;36.96;38.22;38.22;39.92,0;0;0;0;0;0;0,ok
1787055421,2026-08-18T21:17:01,aws-gpu01,490,270.93,0,36.74;39.70;41.42;36.98;38.22;37.97;39.90,0;0;0;0;0;0;0,ok
1787055431,2026-08-18T21:17:11,aws-gpu01,484,271.29,0,36.76;39.72;41.70;36.98;38.47;37.99;39.67,0;0;0;0;0;0;0,ok
1787055441,2026-08-18T21:17:21,aws-gpu01,479,270.94,0,36.74;39.70;41.67;36.72;38.47;37.97;39.67,0;0;0;0;0;0;0,ok
1787055451,2026-08-18T21:17:31,aws-gpu01,552,232.54,0,30.10;33.06;34.29;30.57;31.81;37.97;34.74,0;0;0;0;0;0;0,ok
1787055461,2026-08-18T21:17:41,aws-gpu01,510,222.21,0,29.85;32.81;34.29;30.57;31.56;30.60;32.53,0;0;0;0;0;0;0,ok
1787055471,2026-08-18T21:17:51,aws-gpu01,511,222.21,0,29.85;32.81;34.29;30.57;31.56;30.60;32.53,0;0;0;0;0;0;0,ok
1787055481,2026-08-18T21:18:01,aws-gpu01,518,221.48,0,29.85;32.81;34.05;30.33;31.56;30.35;32.53,0;0;0;0;0;0;0,ok
1787055491,2026-08-18T21:18:11,aws-gpu01,521,221.00,0,29.61;32.57;34.05;30.33;31.56;30.35;32.53,0;0;0;0;0;0;0,ok
1787055501,2026-08-18T21:18:21,aws-gpu01,520,220.25,0,29.85;32.32;33.80;30.33;31.32;30.35;32.28,0;0;0;0;0;0;0,ok
1787055511,2026-08-18T21:18:31,aws-gpu01,541,220.26,0,29.61;32.32;34.05;30.33;31.32;30.35;32.28,0;0;0;0;0;0;0,ok
1787055521,2026-08-18T21:18:41,aws-gpu01,517,220.00,0,29.85;32.32;33.80;30.33;31.32;30.35;32.03,0;0;0;0;0;0;0,ok
1787055531,2026-08-18T21:18:51,aws-gpu01,527,219.76,0,29.36;32.57;33.80;30.33;31.32;30.35;32.03,0;0;0;0;0;0;0,ok
1787055541,2026-08-18T21:19:01,aws-gpu01,514,219.26,0,29.36;32.32;33.55;30.33;31.32;30.35;32.03,0;0;0;0;0;0;0,ok
1787055551,2026-08-18T21:19:11,aws-gpu01,519,259.22,1,36.02;38.74;40.96;36.24;37.73;37.50;32.03,0;0;0;0;0;2;0,ok
1787055561,2026-08-18T21:19:21,aws-gpu01,507,219.51,0,29.61;32.32;33.55;30.33;31.32;30.35;32.03,0;0;0;0;0;0;0,ok
1787055571,2026-08-18T21:19:31,aws-gpu01,502,219.01,0,29.36;32.32;33.55;30.33;31.07;30.35;32.03,0;0;0;0;0;0;0,ok
1787055581,2026-08-18T21:19:41,aws-gpu01,519,218.27,0,29.36;32.32;33.55;30.08;31.07;30.10;31.79,0;0;0;0;0;0;0,ok
1787055591,2026-08-18T21:19:51,aws-gpu01,513,257.61,2,36.00;38.96;40.69;35.98;37.70;36.25;32.03,0;0;0;0;2;1;0,ok
1787055601,2026-08-18T21:20:01,aws-gpu01,573,266.23,0,36.00;38.96;40.69;36.22;37.97;37.23;39.16,0;0;0;0;0;0;0,ok
1787055611,2026-08-18T21:20:11,aws-gpu01,576,267.02,0,36.27;38.96;40.93;36.47;37.97;37.26;39.16,0;0;0;0;0;0;0,ok
1787055621,2026-08-18T21:20:21,aws-gpu01,579,273.20,1,41.18;39.97;40.93;36.47;37.97;37.50;39.18,0;38;0;0;0;0;0,ok
1787055631,2026-08-18T21:20:31,aws-gpu01,585,268.33,2,36.27;39.23;40.96;36.72;37.97;37.75;39.43,0;0;9;12;0;0;0,ok
1787055641,2026-08-18T21:20:41,aws-gpu01,585,268.21,1,36.25;39.21;40.93;36.47;37.97;38.22;39.16,0;0;0;0;0;36;0,ok
1787055651,2026-08-18T21:20:51,aws-gpu01,590,274.66,0,36.25;39.23;41.18;36.47;38.22;37.50;45.81,0;0;0;0;0;0;0,ok
1787055661,2026-08-18T21:21:01,aws-gpu01,580,268.77,0,36.25;39.47;41.18;36.49;38.22;37.75;39.41,0;0;0;0;0;0;0,ok
1787055671,2026-08-18T21:21:11,aws-gpu01,589,269.01,0,36.25;39.47;41.42;36.47;38.47;37.50;39.43,0;0;0;0;0;0;0,ok
1787055681,2026-08-18T21:21:21,aws-gpu01,581,269.25,0,36.25;39.47;41.42;36.47;38.22;37.75;39.67,0;0;0;0;0;0;0,ok
1787055691,2026-08-18T21:21:31,aws-gpu01,582,269.49,0,36.49;39.47;41.42;36.49;38.22;37.75;39.65,0;0;0;0;0;0;0,ok
1787055701,2026-08-18T21:21:41,aws-gpu01,581,269.47,0,36.49;39.45;41.42;36.49;38.22;37.75;39.65,0;0;0;0;0;0;0,ok
1787055711,2026-08-18T21:21:51,aws-gpu01,595,269.94,0,36.49;39.45;41.42;36.47;38.22;37.97;39.92,0;0;0;0;0;0;0,ok
1787055721,2026-08-18T21:22:01,aws-gpu01,577,270.17,0,36.49;39.70;41.42;36.47;38.22;37.97;39.90,0;0;0;0;0;0;0,ok
1787055731,2026-08-18T21:22:11,aws-gpu01,583,270.17,0,36.49;39.70;41.42;36.72;38.22;37.97;39.65,0;0;0;0;0;0;0,ok
1787055741,2026-08-18T21:22:21,aws-gpu01,584,270.15,0,36.49;39.70;41.42;36.72;38.19;37.73;39.90,0;0;0;0;0;0;0,ok
1787055751,2026-08-18T21:22:31,aws-gpu01,596,270.47,0,36.49;39.72;41.45;36.47;38.47;37.97;39.90,0;0;0;0;0;0;0,ok
1787055761,2026-08-18T21:22:41,aws-gpu01,586,270.73,0,36.49;39.72;41.42;36.74;38.47;37.97;39.92,0;0;0;0;0;0;0,ok
1787055771,2026-08-18T21:22:51,aws-gpu01,588,271.28,0,36.76;39.72;41.70;36.72;38.47;37.99;39.92,0;0;0;0;0;0;0,ok
1787055781,2026-08-18T21:23:01,aws-gpu01,591,270.96,0,36.49;39.72;41.67;36.72;38.47;37.99;39.90,0;0;0;0;0;0;0,ok
1787055791,2026-08-18T21:23:11,aws-gpu01,591,270.71,0,36.49;39.72;41.67;36.72;38.47;37.99;39.65,0;0;0;0;0;0;0,ok
1787055801,2026-08-18T21:23:21,aws-gpu01,587,271.45,0,36.74;39.72;41.67;36.72;38.71;37.99;39.90,0;0;0;0;0;0;0,ok
1787055811,2026-08-18T21:23:31,aws-gpu01,582,271.54,0,36.51;39.72;41.70;36.98;38.71;38.00;39.92,0;0;0;0;0;0;0,ok
1787055821,2026-08-18T21:23:41,aws-gpu01,585,271.72,0,36.49;39.97;41.67;36.98;38.47;37.97;40.17,0;0;0;0;0;0;0,ok
1787055831,2026-08-18T21:23:51,aws-gpu01,593,272.01,0,36.76;39.97;41.67;36.74;38.71;37.99;40.17,0;0;0;0;0;0;0,ok
1787055841,2026-08-18T21:24:01,aws-gpu01,591,271.79,0,36.76;39.72;41.70;36.74;38.71;37.99;40.17,0;0;0;0;0;0;0,ok
1787055851,2026-08-18T21:24:11,aws-gpu01,588,272.05,0,36.76;39.97;41.70;36.74;38.71;38.00;40.17,0;0;0;0;0;0;0,ok
1787055861,2026-08-18T21:24:21,aws-gpu01,595,272.01,0,36.76;39.97;41.67;36.74;38.71;37.99;40.17,0;0;0;0;0;0;0,ok
1787055871,2026-08-18T21:24:31,aws-gpu01,623,271.46,0,36.74;39.72;41.70;36.72;38.47;37.97;40.14,0;0;0;0;0;0;0,ok
1787055881,2026-08-18T21:24:41,aws-gpu01,607,270.54,0,36.51;39.72;41.45;36.74;38.47;37.98;39.67,0;0;0;0;0;0;0,ok
1787055891,2026-08-18T21:24:51,aws-gpu01,598,269.74,0,36.49;39.47;41.42;36.72;38.22;37.75;39.67,0;0;0;0;0;0;0,ok
1787055901,2026-08-18T21:25:01,aws-gpu01,592,268.79,0,36.25;39.47;40.93;36.74;38.22;37.75;39.43,0;0;0;0;0;0;0,ok
1787055911,2026-08-18T21:25:11,aws-gpu01,507,267.35,0,36.27;39.23;40.96;36.24;37.97;37.50;39.18,0;0;0;0;0;0;0,ok
