CELL,COND_ID,UB,PROMPT_TAG,role,idx,eval_tps,prompt_tps,prompt_n,predicted_n,prompt_ms,predicted_ms,wallclock,max_gpu_used,err
E10_suballoc2g_32k,E10_suballoc2g,base,32k,eval,4,16.366271007803004,27.721564605106312,4,256,144.292,15641.926,17,9993,
E10_suballoc2g_32k,E10_suballoc2g,base,32k,eval,5,16.47717380425439,26.73189248432843,4,256,149.634,15536.645,16,9993,
D2_no_intdot_32k,D2_no_intdot,base,32k,warmup,1,17.231173831985554,406.8923743291139,32084,256,78851.318,14856.794,95,9993,
D2_no_intdot_32k,D2_no_intdot,base,32k,warmup,2,16.651275077893494,23.799748912648973,4,256,168.069,15374.198,17,9993,
D2_no_intdot_32k,D2_no_intdot,base,32k,eval,1,16.68600113595167,23.348938207035037,4,256,171.314,15342.202,16,9993,
D2_no_intdot_32k,D2_no_intdot,base,32k,eval,2,16.309691479887253,26.437191841482598,4,256,151.302,15696.189,17,9993,
D2_no_intdot_32k,D2_no_intdot,base,32k,eval,3,17.31024021068726,27.632133407940096,4,256,144.759,14788.934,16,9993,
D2_no_intdot_32k,D2_no_intdot,base,32k,eval,4,16.560661184397787,25.70413258191586,4,256,155.617,15458.32,17,9993,
D2_no_intdot_32k,D2_no_intdot,base,32k,eval,5,16.700614797905924,25.08434611380768,4,256,159.462,15328.777,16,9993,
D3_no_fusion_32k,D3_no_fusion,base,32k,warmup,1,15.5857796564054,400.8523847849558,32084,256,80039.439,16425.229,98,9993,
D3_no_fusion_32k,D3_no_fusion,base,32k,warmup,2,15.961627250488123,20.333572252807304,4,256,196.719,16038.465,17,9993,
D3_no_fusion_32k,D3_no_fusion,base,32k,eval,1,15.801622480968303,26.29433882885015,4,256,152.124,16200.868,17,9993,
D3_no_fusion_32k,D3_no_fusion,base,32k,eval,2,15.85669413570518,24.869899339082426,4,256,160.837,16144.601,17,9993,
D3_no_fusion_32k,D3_no_fusion,base,32k,eval,3,15.50877505878795,29.812479503920343,4,256,134.172,16506.784,17,9993,
D3_no_fusion_32k,D3_no_fusion,base,32k,eval,4,15.73372344772836,24.186721489902045,4,256,165.38,16270.783,17,9993,
D3_no_fusion_32k,D3_no_fusion,base,32k,eval,5,16.077835817788127,24.917616131664683,4,256,160.529,15922.541,17,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,warmup,1,16.718280002455497,406.493939283441,32083,256,78926.146,15312.58,95,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,warmup,2,16.373088449918143,21.237509689613795,4,256,188.346,15635.413,16,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,eval,1,16.310808573929442,23.62348883494859,4,256,169.323,15695.114,16,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,warmup,1,16.891238765181825,24.942787481214964,4,256,160.367,15155.786,16,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,warmup,2,16.85296433767916,25.978580660245626,4,256,153.973,15190.206,16,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,eval,1,16.802001538433267,25.575938157381536,4,256,156.397,15236.28,16,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,eval,2,16.795992528670137,24.99453244602743,4,256,160.035,15241.731,16,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,eval,3,16.575873828592385,27.494054410733682,4,256,145.486,15444.133,17,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,eval,4,16.84408111819959,27.9041214387365,4,256,143.348,15198.217,16,9993,
B0_baseline_end_32k,B0_baseline_end,base,32k,eval,5,16.866392868889097,27.591344595200482,4,256,144.973,15178.112,16,9993,
B0_baseline_1k_1k,B0_baseline_1k,base,1k,warmup,1,18.4981376494113,521.1870195229827,1053,256,2020.388,13839.231,16,9993,
B0_baseline_1k_1k,B0_baseline_1k,base,1k,warmup,2,18.983700194575512,21.98841210681971,4,256,181.914,13485.253,14,9993,
B0_baseline_1k_1k,B0_baseline_1k,base,1k,eval,1,18.882813114290734,27.063416350362992,4,256,147.801,13557.302,14,9993,
B0_baseline_1k_1k,B0_baseline_1k,base,1k,eval,2,18.610009655396414,27.067628469731627,4,256,147.778,13756.038,15,9993,
B0_baseline_1k_1k,B0_baseline_1k,base,1k,eval,3,18.93654578024597,26.957447668854712,4,256,148.382,13518.833,14,9993,
B0_baseline_1k_1k,B0_baseline_1k,base,1k,eval,4,19.293148769244066,38.4260682446972,4,256,104.096,13268.959,14,9993,
B0_baseline_1k_1k,B0_baseline_1k,base,1k,eval,5,18.282850407789695,27.525650465527566,4,256,145.319,14002.193,15,9993,
E11_no_hostvis_vidmem_32k,E11_no_hostvis_vidmem,base,32k,warmup,1,16.820458881829772,410.1252087836659,32087,256,78237.083,15219.561,94,9993,
E11_no_hostvis_vidmem_32k,E11_no_hostvis_vidmem,base,32k,warmup,2,16.258573301301404,24.717906887644755,4,256,161.826,15745.539,17,9993,
E11_no_hostvis_vidmem_32k,E11_no_hostvis_vidmem,base,32k,eval,1,15.61312529575742,20.41837245153189,4,256,195.902,16396.461,18,9993,
E11_no_hostvis_vidmem_32k,E11_no_hostvis_vidmem,base,32k,eval,2,16.573500073965718,23.687701345461434,4,256,168.864,15446.345,17,9993,
E11_no_hostvis_vidmem_32k,E11_no_hostvis_vidmem,base,32k,eval,3,16.311224275893146,25.12989011955545,4,256,159.173,15694.714,16,9993,
E11_no_hostvis_vidmem_32k,E11_no_hostvis_vidmem,base,32k,eval,4,16.110623596928306,21.84873031565953,4,256,183.077,15890.136,17,9993,
E11_no_hostvis_vidmem_32k,E11_no_hostvis_vidmem,base,32k,eval,5,16.045055518712516,22.30624240193618,4,256,179.322,15955.071,17,9993,
