7.55.835.374 I slot print_timing: id  0 | task 4102 | n_decoded =   1222, tg =  16.09 t/s, tg_3s =  16.41 t/s
8.48.084.088 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.688 (> 0.100 thold), f_keep = 0.622
8.48.084.284 I slot launch_slot_: id  0 | task 6153 | processing task, is_child = 0
8.48.084.313 I slot   operator(): id  0 | task 6153 | Checking checkpoint with [3316, 3316] against 3372...
8.48.145.072 W slot   operator(): id  0 | task 6153 | restored context checkpoint (pos_min = 3316, pos_max = 3316, n_tokens = 3317, n_past = 3317, size = 62.813 MiB)
8.51.546.877 I slot create_check: id  0 | task 6153 | created context checkpoint 4 of 32 (pos_min = 4854, pos_max = 4854, n_tokens = 4855, size = 62.813 MiB)
8.51.873.507 I slot print_timing: id  0 | task 6153 | prompt processing, n_tokens =   1582, progress = 1.00, t =   3.79 s / 417.50 tokens per second
8.58.014.192 I slot print_timing: id  0 | task 6153 | n_decoded =    100, tg =  16.59 t/s, tg_3s =  16.59 t/s
9.01.016.688 I slot print_timing: id  0 | task 6153 | n_decoded =    148, tg =  16.39 t/s, tg_3s =  15.99 t/s
9.04.076.746 I slot print_timing: id  0 | task 6153 | n_decoded =    198, tg =  16.37 t/s, tg_3s =  16.34 t/s
9.07.113.934 I slot print_timing: id  0 | task 6153 | n_decoded =    247, tg =  16.33 t/s, tg_3s =  16.13 t/s
9.10.121.363 I slot print_timing: id  0 | task 6153 | n_decoded =    296, tg =  16.32 t/s, tg_3s =  16.29 t/s
9.13.129.248 I slot print_timing: id  0 | task 6153 | n_decoded =    344, tg =  16.27 t/s, tg_3s =  15.96 t/s
9.16.180.179 I slot print_timing: id  0 | task 6153 | n_decoded =    394, tg =  16.28 t/s, tg_3s =  16.39 t/s
9.19.190.116 I slot print_timing: id  0 | task 6153 | n_decoded =    442, tg =  16.25 t/s, tg_3s =  15.95 t/s
9.22.248.212 I slot print_timing: id  0 | task 6153 | n_decoded =    493, tg =  16.29 t/s, tg_3s =  16.68 t/s
9.25.254.797 I slot print_timing: id  0 | task 6153 | n_decoded =    541, tg =  16.26 t/s, tg_3s =  15.96 t/s
9.28.291.915 I slot print_timing: id  0 | task 6153 | n_decoded =    589, tg =  16.22 t/s, tg_3s =  15.80 t/s
9.31.326.548 I slot print_timing: id  0 | task 6153 | n_decoded =    638, tg =  16.22 t/s, tg_3s =  16.15 t/s
9.34.380.523 I slot print_timing: id  0 | task 6153 | n_decoded =    687, tg =  16.20 t/s, tg_3s =  16.04 t/s
9.37.384.403 I slot print_timing: id  0 | task 6153 | n_decoded =    735, tg =  16.19 t/s, tg_3s =  15.98 t/s
9.40.415.178 I slot print_timing: id  0 | task 6153 | n_decoded =    785, tg =  16.21 t/s, tg_3s =  16.50 t/s
9.43.434.132 I slot print_timing: id  0 | task 6153 | n_decoded =    837, tg =  16.27 t/s, tg_3s =  17.22 t/s
9.46.488.929 I slot print_timing: id  0 | task 6153 | n_decoded =    886, tg =  16.26 t/s, tg_3s =  16.04 t/s
9.49.511.639 I slot print_timing: id  0 | task 6153 | n_decoded =    935, tg =  16.25 t/s, tg_3s =  16.21 t/s
9.52.512.499 I slot print_timing: id  0 | task 6153 | n_decoded =    982, tg =  16.22 t/s, tg_3s =  15.66 t/s
9.55.542.292 I slot print_timing: id  0 | task 6153 | n_decoded =   1030, tg =  16.21 t/s, tg_3s =  15.84 t/s
9.58.563.845 I slot print_timing: id  0 | task 6153 | n_decoded =   1077, tg =  16.18 t/s, tg_3s =  15.55 t/s
10.01.621.284 I slot print_timing: id  0 | task 6153 | n_decoded =   1125, tg =  16.16 t/s, tg_3s =  15.70 t/s
10.04.651.967 I slot print_timing: id  0 | task 6153 | n_decoded =   1174, tg =  16.16 t/s, tg_3s =  16.17 t/s
10.07.678.317 I slot print_timing: id  0 | task 6153 | n_decoded =   1223, tg =  16.16 t/s, tg_3s =  16.19 t/s
10.10.706.194 I slot print_timing: id  0 | task 6153 | n_decoded =   1271, tg =  16.15 t/s, tg_3s =  15.85 t/s
10.13.710.852 I slot print_timing: id  0 | task 6153 | n_decoded =   1318, tg =  16.13 t/s, tg_3s =  15.64 t/s
10.16.715.726 I slot print_timing: id  0 | task 6153 | n_decoded =   1366, tg =  16.12 t/s, tg_3s =  15.97 t/s
10.19.721.519 I slot print_timing: id  0 | task 6153 | n_decoded =   1416, tg =  16.14 t/s, tg_3s =  16.63 t/s
10.22.747.613 I slot print_timing: id  0 | task 6153 | n_decoded =   1466, tg =  16.15 t/s, tg_3s =  16.52 t/s
10.25.806.206 I slot print_timing: id  0 | task 6153 | n_decoded =   1515, tg =  16.15 t/s, tg_3s =  16.02 t/s
10.28.819.500 I slot print_timing: id  0 | task 6153 | n_decoded =   1563, tg =  16.14 t/s, tg_3s =  15.93 t/s
10.31.831.303 I slot print_timing: id  0 | task 6153 | n_decoded =   1611, tg =  16.13 t/s, tg_3s =  15.94 t/s
10.34.852.042 I slot print_timing: id  0 | task 6153 | n_decoded =   1660, tg =  16.14 t/s, tg_3s =  16.22 t/s
10.37.895.259 I slot print_timing: id  0 | task 6153 | n_decoded =   1707, tg =  16.12 t/s, tg_3s =  15.44 t/s
10.40.899.613 I slot print_timing: id  0 | task 6153 | n_decoded =   1755, tg =  16.11 t/s, tg_3s =  15.98 t/s
10.43.945.570 I slot print_timing: id  0 | task 6153 | n_decoded =   1804, tg =  16.11 t/s, tg_3s =  16.09 t/s
10.46.974.224 I slot print_timing: id  0 | task 6153 | n_decoded =   1853, tg =  16.11 t/s, tg_3s =  16.18 t/s
10.50.029.779 I slot print_timing: id  0 | task 6153 | n_decoded =   1904, tg =  16.13 t/s, tg_3s =  16.69 t/s
10.53.038.693 I slot print_timing: id  0 | task 6153 | n_decoded =   1954, tg =  16.14 t/s, tg_3s =  16.62 t/s
10.56.073.649 I slot print_timing: id  0 | task 6153 | n_decoded =   2004, tg =  16.15 t/s, tg_3s =  16.47 t/s
10.58.825.059 I slot print_timing: id  0 | task 6153 | prompt eval time =    3900.76 ms /  1586 tokens (    2.46 ms per token,   406.59 tokens per second)
10.58.825.064 I slot print_timing: id  0 | task 6153 |        eval time =  126839.97 ms /  2048 tokens (   61.93 ms per token,    16.15 tokens per second)
10.58.825.066 I slot print_timing: id  0 | task 6153 |       total time =  130740.73 ms /  3634 tokens
10.58.825.067 I slot print_timing: id  0 | task 6153 |    graphs reused =       8153
10.58.826.116 I slot      release: id  0 | task 6153 | stop processing: n_tokens = 6950, truncated = 0
10.58.826.214 I srv  update_slots: all slots are idle
10.59.603.277 I srv    operator(): Chat format: peg-native
10.59.603.743 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.765 (> 0.100 thold), f_keep = 0.705
10.59.603.913 I slot launch_slot_: id  0 | task 8204 | processing task, is_child = 0
10.59.603.940 I slot   operator(): id  0 | task 8204 | Checking checkpoint with [4854, 4854] against 4901...
10.59.644.195 W slot   operator(): id  0 | task 8204 | restored context checkpoint (pos_min = 4854, pos_max = 4854, n_tokens = 4855, n_past = 4855, size = 62.813 MiB)
11.03.156.785 I slot create_check: id  0 | task 8204 | created context checkpoint 5 of 32 (pos_min = 6353, pos_max = 6353, n_tokens = 6354, size = 62.813 MiB)
11.03.496.098 I slot print_timing: id  0 | task 8204 | prompt processing, n_tokens =   1546, progress = 1.00, t =   3.89 s / 397.21 tokens per second
11.09.831.355 I slot print_timing: id  0 | task 8204 | n_decoded =    100, tg =  16.07 t/s, tg_3s =  16.07 t/s
11.12.836.572 I slot print_timing: id  0 | task 8204 | n_decoded =    148, tg =  16.04 t/s, tg_3s =  15.97 t/s
11.15.874.819 I slot print_timing: id  0 | task 8204 | n_decoded =    197, tg =  16.06 t/s, tg_3s =  16.13 t/s
11.18.919.441 I slot print_timing: id  0 | task 8204 | n_decoded =    245, tg =  16.00 t/s, tg_3s =  15.77 t/s
11.21.929.519 I slot print_timing: id  0 | task 8204 | n_decoded =    292, tg =  15.94 t/s, tg_3s =  15.61 t/s
11.24.948.726 I slot print_timing: id  0 | task 8204 | n_decoded =    340, tg =  15.93 t/s, tg_3s =  15.90 t/s
11.27.997.767 I slot print_timing: id  0 | task 8204 | n_decoded =    389, tg =  15.95 t/s, tg_3s =  16.07 t/s
11.31.047.275 I slot print_timing: id  0 | task 8204 | n_decoded =    438, tg =  15.96 t/s, tg_3s =  16.07 t/s
11.34.089.286 I slot print_timing: id  0 | task 8204 | n_decoded =    487, tg =  15.98 t/s, tg_3s =  16.11 t/s
11.37.131.861 I slot print_timing: id  0 | task 8204 | n_decoded =    535, tg =  15.96 t/s, tg_3s =  15.78 t/s
11.40.157.687 I slot print_timing: id  0 | task 8204 | n_decoded =    583, tg =  15.95 t/s, tg_3s =  15.86 t/s
11.43.172.203 I slot print_timing: id  0 | task 8204 | n_decoded =    631, tg =  15.95 t/s, tg_3s =  15.92 t/s
11.46.190.515 I slot print_timing: id  0 | task 8204 | n_decoded =    681, tg =  15.99 t/s, tg_3s =  16.57 t/s
11.49.194.587 I slot print_timing: id  0 | task 8204 | n_decoded =    729, tg =  15.99 t/s, tg_3s =  15.98 t/s
11.52.248.605 I slot print_timing: id  0 | task 8204 | n_decoded =    778, tg =  15.99 t/s, tg_3s =  16.04 t/s
11.55.272.282 I slot print_timing: id  0 | task 8204 | n_decoded =    827, tg =  16.01 t/s, tg_3s =  16.21 t/s
11.58.273.123 I slot print_timing: id  0 | task 8204 | n_decoded =    876, tg =  16.02 t/s, tg_3s =  16.33 t/s
12.01.288.164 I slot print_timing: id  0 | task 8204 | n_decoded =    925, tg =  16.04 t/s, tg_3s =  16.25 t/s
12.04.304.493 I slot print_timing: id  0 | task 8204 | n_decoded =    973, tg =  16.03 t/s, tg_3s =  15.91 t/s
12.07.307.964 I slot print_timing: id  0 | task 8204 | n_decoded =   1021, tg =  16.03 t/s, tg_3s =  15.98 t/s
12.10.332.810 I slot print_timing: id  0 | task 8204 | n_decoded =   1071, tg =  16.05 t/s, tg_3s =  16.53 t/s
12.13.370.803 I slot print_timing: id  0 | task 8204 | n_decoded =   1122, tg =  16.08 t/s, tg_3s =  16.79 t/s
12.16.387.395 I slot print_timing: id  0 | task 8204 | n_decoded =   1170, tg =  16.08 t/s, tg_3s =  15.91 t/s
12.19.414.467 I slot print_timing: id  0 | task 8204 | n_decoded =   1218, tg =  16.07 t/s, tg_3s =  15.86 t/s
12.22.449.616 I slot print_timing: id  0 | task 8204 | n_decoded =   1266, tg =  16.06 t/s, tg_3s =  15.81 t/s
12.25.503.929 I slot print_timing: id  0 | task 8204 | n_decoded =   1314, tg =  16.04 t/s, tg_3s =  15.72 t/s
12.28.540.334 I slot print_timing: id  0 | task 8204 | n_decoded =   1362, tg =  16.04 t/s, tg_3s =  15.81 t/s
12.31.567.252 I slot print_timing: id  0 | task 8204 | n_decoded =   1409, tg =  16.02 t/s, tg_3s =  15.53 t/s
12.34.578.039 I slot print_timing: id  0 | task 8204 | n_decoded =   1457, tg =  16.02 t/s, tg_3s =  15.94 t/s
12.37.626.053 I slot print_timing: id  0 | task 8204 | n_decoded =   1506, tg =  16.02 t/s, tg_3s =  16.08 t/s
12.40.690.521 I slot print_timing: id  0 | task 8204 | n_decoded =   1554, tg =  16.01 t/s, tg_3s =  15.66 t/s
12.43.691.876 I slot print_timing: id  0 | task 8204 | n_decoded =   1604, tg =  16.03 t/s, tg_3s =  16.66 t/s
12.46.733.527 I slot print_timing: id  0 | task 8204 | n_decoded =   1656, tg =  16.06 t/s, tg_3s =  17.10 t/s
12.49.742.162 I slot print_timing: id  0 | task 8204 | n_decoded =   1703, tg =  16.05 t/s, tg_3s =  15.62 t/s
12.52.800.367 I slot print_timing: id  0 | task 8204 | n_decoded =   1752, tg =  16.05 t/s, tg_3s =  16.02 t/s
12.55.854.561 I slot print_timing: id  0 | task 8204 | n_decoded =   1800, tg =  16.04 t/s, tg_3s =  15.72 t/s
12.58.903.311 I slot print_timing: id  0 | task 8204 | n_decoded =   1849, tg =  16.04 t/s, tg_3s =  16.07 t/s
13.01.965.663 I slot print_timing: id  0 | task 8204 | n_decoded =   1897, tg =  16.03 t/s, tg_3s =  15.67 t/s
13.04.982.461 I slot print_timing: id  0 | task 8204 | n_decoded =   1944, tg =  16.02 t/s, tg_3s =  15.58 t/s
13.08.006.448 I slot print_timing: id  0 | task 8204 | n_decoded =   1992, tg =  16.01 t/s, tg_3s =  15.87 t/s
13.11.011.952 I slot print_timing: id  0 | task 8204 | n_decoded =   2041, tg =  16.02 t/s, tg_3s =  16.30 t/s
13.11.468.322 I slot print_timing: id  0 | task 8204 | prompt eval time =    4004.10 ms /  1550 tokens (    2.58 ms per token,   387.10 tokens per second)
13.11.468.329 I slot print_timing: id  0 | task 8204 |        eval time =  127860.25 ms /  2048 tokens (   62.43 ms per token,    16.02 tokens per second)
13.11.468.331 I slot print_timing: id  0 | task 8204 |       total time =  131864.35 ms /  3598 tokens
13.11.468.333 I slot print_timing: id  0 | task 8204 |    graphs reused =      10191
13.11.469.969 I slot      release: id  0 | task 8204 | stop processing: n_tokens = 8452, truncated = 0
13.11.470.088 I srv  update_slots: all slots are idle
13.12.439.507 I srv    operator(): Chat format: peg-native
13.12.440.020 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.809 (> 0.100 thold), f_keep = 0.758
13.12.440.237 I slot launch_slot_: id  0 | task 10255 | processing task, is_child = 0
13.12.440.270 I slot   operator(): id  0 | task 10255 | Checking checkpoint with [6353, 6353] against 6403...
13.12.506.548 W slot   operator(): id  0 | task 10255 | restored context checkpoint (pos_min = 6353, pos_max = 6353, n_tokens = 6354, n_past = 6354, size = 62.813 MiB)
13.16.192.256 I slot create_check: id  0 | task 10255 | created context checkpoint 6 of 32 (pos_min = 7857, pos_max = 7857, n_tokens = 7858, size = 62.813 MiB)
13.16.567.034 I slot print_timing: id  0 | task 10255 | prompt processing, n_tokens =   1554, progress = 1.00, t =   4.13 s / 376.57 tokens per second
13.22.927.658 I slot print_timing: id  0 | task 10255 | n_decoded =    100, tg =  16.03 t/s, tg_3s =  16.03 t/s
13.25.935.650 I slot print_timing: id  0 | task 10255 | n_decoded =    149, tg =  16.11 t/s, tg_3s =  16.29 t/s
13.28.985.531 I slot print_timing: id  0 | task 10255 | n_decoded =    198, tg =  16.10 t/s, tg_3s =  16.07 t/s
13.31.997.739 I slot print_timing: id  0 | task 10255 | n_decoded =    245, tg =  16.00 t/s, tg_3s =  15.60 t/s
13.35.015.035 I slot print_timing: id  0 | task 10255 | n_decoded =    292, tg =  15.93 t/s, tg_3s =  15.58 t/s
13.38.042.268 I slot print_timing: id  0 | task 10255 | n_decoded =    342, tg =  16.02 t/s, tg_3s =  16.52 t/s
13.41.079.415 I slot print_timing: id  0 | task 10255 | n_decoded =    389, tg =  15.95 t/s, tg_3s =  15.47 t/s
13.44.101.070 I slot print_timing: id  0 | task 10255 | n_decoded =    437, tg =  15.94 t/s, tg_3s =  15.89 t/s
13.47.148.818 I slot print_timing: id  0 | task 10255 | n_decoded =    485, tg =  15.92 t/s, tg_3s =  15.75 t/s
13.50.156.262 I slot print_timing: id  0 | task 10255 | n_decoded =    533, tg =  15.93 t/s, tg_3s =  15.96 t/s
13.53.163.228 I slot print_timing: id  0 | task 10255 | n_decoded =    581, tg =  15.93 t/s, tg_3s =  15.96 t/s
13.56.194.595 I slot print_timing: id  0 | task 10255 | n_decoded =    630, tg =  15.95 t/s, tg_3s =  16.16 t/s
13.59.208.813 I slot print_timing: id  0 | task 10255 | n_decoded =    681, tg =  16.02 t/s, tg_3s =  16.92 t/s
14.02.234.528 I slot print_timing: id  0 | task 10255 | n_decoded =    730, tg =  16.03 t/s, tg_3s =  16.19 t/s
14.05.294.384 I slot print_timing: id  0 | task 10255 | n_decoded =    779, tg =  16.03 t/s, tg_3s =  16.01 t/s
14.08.297.390 I slot print_timing: id  0 | task 10255 | n_decoded =    826, tg =  16.01 t/s, tg_3s =  15.65 t/s
14.11.304.964 I slot print_timing: id  0 | task 10255 | n_decoded =    873, tg =  15.98 t/s, tg_3s =  15.63 t/s
14.14.364.043 I slot print_timing: id  0 | task 10255 | n_decoded =    922, tg =  15.99 t/s, tg_3s =  16.02 t/s
14.17.394.350 I slot print_timing: id  0 | task 10255 | n_decoded =    971, tg =  16.00 t/s, tg_3s =  16.17 t/s
14.20.411.526 I slot print_timing: id  0 | task 10255 | n_decoded =   1020, tg =  16.01 t/s, tg_3s =  16.24 t/s
14.23.430.587 I slot print_timing: id  0 | task 10255 | n_decoded =   1069, tg =  16.02 t/s, tg_3s =  16.23 t/s
14.26.472.428 I slot print_timing: id  0 | task 10255 | n_decoded =   1116, tg =  15.99 t/s, tg_3s =  15.45 t/s
14.29.500.417 I slot print_timing: id  0 | task 10255 | n_decoded =   1164, tg =  15.99 t/s, tg_3s =  15.85 t/s
14.32.509.677 I slot print_timing: id  0 | task 10255 | n_decoded =   1211, tg =  15.97 t/s, tg_3s =  15.62 t/s
14.35.513.089 I slot print_timing: id  0 | task 10255 | n_decoded =   1259, tg =  15.97 t/s, tg_3s =  15.98 t/s
14.38.581.759 I slot print_timing: id  0 | task 10255 | n_decoded =   1306, tg =  15.95 t/s, tg_3s =  15.32 t/s
14.41.589.656 I slot print_timing: id  0 | task 10255 | n_decoded =   1355, tg =  15.96 t/s, tg_3s =  16.29 t/s
14.44.650.316 I slot print_timing: id  0 | task 10255 | n_decoded =   1405, tg =  15.97 t/s, tg_3s =  16.34 t/s
14.47.679.296 I slot print_timing: id  0 | task 10255 | n_decoded =   1453, tg =  15.97 t/s, tg_3s =  15.85 t/s
14.47.737.968 I slot print_timing: id  0 | task 10255 | prompt eval time =    4248.99 ms /  1558 tokens (    2.73 ms per token,   366.68 tokens per second)
14.47.737.973 I slot print_timing: id  0 | task 10255 |        eval time =   91048.70 ms /  1454 tokens (   62.62 ms per token,    15.97 tokens per second)
14.47.737.974 I slot print_timing: id  0 | task 10255 |       total time =   95297.69 ms /  3012 tokens
14.47.737.975 I slot print_timing: id  0 | task 10255 |    graphs reused =      11637
14.47.739.370 I slot      release: id  0 | task 10255 | stop processing: n_tokens = 9365, truncated = 0
14.47.739.442 I srv  update_slots: all slots are idle
14.48.508.230 I srv    operator(): Chat format: peg-native
14.48.508.564 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.986 (> 0.100 thold), f_keep = 0.015
14.48.508.569 I srv  get_availabl: updating prompt cache
14.48.509.726 W srv   prompt_save:  - saving prompt with length 9365, total state size = 160.163 MiB (draft: 0.000 MiB)
14.49.186.214 I srv          load:  - looking for better prompt, base f_keep = 0.015, sim = 0.986
14.49.186.229 I srv        update:  - cache state: 3 prompts, 913.209 MiB (limits: 8192.000 MiB, 131072 tokens, 137599 est)
14.49.186.231 I srv        update:    - prompt 0x559bba00fa20:    2189 tokens, checkpoints:  1,   148.381 MiB
14.49.186.232 I srv        update:    - prompt 0x559bb55986b0:    3785 tokens, checkpoints:  2,   227.785 MiB
14.49.186.233 I srv        update:    - prompt 0x559bb4fae320:    9365 tokens, checkpoints:  6,   537.042 MiB
14.49.186.235 I srv  get_availabl: prompt cache update took 677.66 ms
14.49.186.400 I slot launch_slot_: id  0 | task 11712 | processing task, is_child = 0
14.49.186.419 I slot   operator(): id  0 | task 11712 | Checking checkpoint with [7857, 7857] against 140...
14.49.186.420 I slot   operator(): id  0 | task 11712 | Checking checkpoint with [6353, 6353] against 140...
14.49.186.420 I slot   operator(): id  0 | task 11712 | Checking checkpoint with [4854, 4854] against 140...
14.49.186.421 I slot   operator(): id  0 | task 11712 | Checking checkpoint with [3316, 3316] against 140...
14.49.186.422 I slot   operator(): id  0 | task 11712 | Checking checkpoint with [1683, 1683] against 140...
14.49.186.424 I slot   operator(): id  0 | task 11712 | Checking checkpoint with [87, 87] against 140...
14.49.201.011 W slot   operator(): id  0 | task 11712 | restored context checkpoint (pos_min = 87, pos_max = 87, n_tokens = 88, n_past = 88, size = 62.813 MiB)
14.49.201.019 W slot   operator(): id  0 | task 11712 | erased invalidated context checkpoint (pos_min = 1683, pos_max = 1683, n_tokens = 1684, n_swa = 0, pos_next = 88, size = 62.813 MiB)
14.49.203.547 W slot   operator(): id  0 | task 11712 | erased invalidated context checkpoint (pos_min = 3316, pos_max = 3316, n_tokens = 3317, n_swa = 0, pos_next = 88, size = 62.813 MiB)
14.49.206.033 W slot   operator(): id  0 | task 11712 | erased invalidated context checkpoint (pos_min = 4854, pos_max = 4854, n_tokens = 4855, n_swa = 0, pos_next = 88, size = 62.813 MiB)
14.49.208.900 W slot   operator(): id  0 | task 11712 | erased invalidated context checkpoint (pos_min = 6353, pos_max = 6353, n_tokens = 6354, n_swa = 0, pos_next = 88, size = 62.813 MiB)
14.49.211.945 W slot   operator(): id  0 | task 11712 | erased invalidated context checkpoint (pos_min = 7857, pos_max = 7857, n_tokens = 7858, n_swa = 0, pos_next = 88, size = 62.813 MiB)
14.49.274.479 I slot create_check: id  0 | task 11712 | created context checkpoint 2 of 32 (pos_min = 87, pos_max = 87, n_tokens = 88, size = 62.813 MiB)
14.55.814.118 I slot print_timing: id  0 | task 11712 | n_decoded =    100, tg =  16.33 t/s, tg_3s =  16.33 t/s
14.58.815.125 I slot print_timing: id  0 | task 11712 | n_decoded =    149, tg =  16.33 t/s, tg_3s =  16.33 t/s
15.01.860.338 I slot print_timing: id  0 | task 11712 | n_decoded =    197, tg =  16.19 t/s, tg_3s =  15.76 t/s
15.04.904.619 I slot print_timing: id  0 | task 11712 | n_decoded =    245, tg =  16.10 t/s, tg_3s =  15.77 t/s
15.07.942.459 I slot print_timing: id  0 | task 11712 | n_decoded =    292, tg =  16.00 t/s, tg_3s =  15.47 t/s
15.10.951.328 I slot print_timing: id  0 | task 11712 | n_decoded =    340, tg =  15.99 t/s, tg_3s =  15.95 t/s
15.13.963.967 I slot print_timing: id  0 | task 11712 | n_decoded =    388, tg =  15.98 t/s, tg_3s =  15.93 t/s
15.16.983.233 I slot print_timing: id  0 | task 11712 | n_decoded =    438, tg =  16.05 t/s, tg_3s =  16.56 t/s
15.19.987.487 I slot print_timing: id  0 | task 11712 | n_decoded =    488, tg =  16.11 t/s, tg_3s =  16.64 t/s
15.23.014.793 I slot print_timing: id  0 | task 11712 | n_decoded =    536, tg =  16.08 t/s, tg_3s =  15.86 t/s
15.26.034.252 I slot print_timing: id  0 | task 11712 | n_decoded =    584, tg =  16.07 t/s, tg_3s =  15.90 t/s
15.29.056.403 I slot print_timing: id  0 | task 11712 | n_decoded =    632, tg =  16.05 t/s, tg_3s =  15.88 t/s
15.32.105.756 I slot print_timing: id  0 | task 11712 | n_decoded =    681, tg =  16.06 t/s, tg_3s =  16.07 t/s
15.35.117.030 I slot print_timing: id  0 | task 11712 | n_decoded =    728, tg =  16.03 t/s, tg_3s =  15.61 t/s
15.38.119.237 I slot print_timing: id  0 | task 11712 | n_decoded =    776, tg =  16.02 t/s, tg_3s =  15.99 t/s
15.41.159.980 I slot print_timing: id  0 | task 11712 | n_decoded =    824, tg =  16.01 t/s, tg_3s =  15.79 t/s
15.44.212.235 I slot print_timing: id  0 | task 11712 | n_decoded =    872, tg =  15.99 t/s, tg_3s =  15.73 t/s
15.47.220.766 I slot print_timing: id  0 | task 11712 | n_decoded =    919, tg =  15.97 t/s, tg_3s =  15.62 t/s
15.50.225.791 I slot print_timing: id  0 | task 11712 | n_decoded =    966, tg =  15.96 t/s, tg_3s =  15.64 t/s
15.53.263.956 I slot print_timing: id  0 | task 11712 | n_decoded =   1014, tg =  15.95 t/s, tg_3s =  15.80 t/s
15.56.305.755 I slot print_timing: id  0 | task 11712 | n_decoded =   1063, tg =  15.96 t/s, tg_3s =  16.11 t/s
15.59.355.685 I slot print_timing: id  0 | task 11712 | n_decoded =   1111, tg =  15.95 t/s, tg_3s =  15.74 t/s
16.02.398.385 I slot print_timing: id  0 | task 11712 | n_decoded =   1158, tg =  15.93 t/s, tg_3s =  15.45 t/s
16.05.410.855 I slot print_timing: id  0 | task 11712 | n_decoded =   1206, tg =  15.93 t/s, tg_3s =  15.93 t/s
16.08.451.051 I slot print_timing: id  0 | task 11712 | n_decoded =   1255, tg =  15.93 t/s, tg_3s =  16.12 t/s
16.11.505.132 I slot print_timing: id  0 | task 11712 | n_decoded =   1306, tg =  15.96 t/s, tg_3s =  16.70 t/s
16.14.512.390 I slot print_timing: id  0 | task 11712 | n_decoded =   1354, tg =  15.96 t/s, tg_3s =  15.96 t/s
16.17.564.290 I slot print_timing: id  0 | task 11712 | n_decoded =   1401, tg =  15.94 t/s, tg_3s =  15.40 t/s
16.20.587.817 I slot print_timing: id  0 | task 11712 | n_decoded =   1448, tg =  15.93 t/s, tg_3s =  15.54 t/s
16.23.644.178 I slot print_timing: id  0 | task 11712 | n_decoded =   1497, tg =  15.93 t/s, tg_3s =  16.03 t/s
