label	ot_tag	cpu_layers	threads	kv	split_mode	ctx	ub	run_index	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
B28_32k_ub1024	B28	28	40	q8_0	layer	32768	1024	3	eval	2	15.980670380383028	57.0273662202499	1105	256
B28_32k_ub1024	B28	28	40	q8_0	layer	32768	1024	3	eval	3	15.972943829770347	56.958131649571925	1105	256
B28_32k_ub1024	B28	28	40	q8_0	layer	32768	1024	3	eval	4	15.978630578929504	57.00967781844755	1105	256
B28_32k_ub1024	B28	28	40	q8_0	layer	32768	1024	3	eval	5	15.816396351478632	56.992829322104086	1105	256
B28_32k_ub768	B28	28	40	q8_0	layer	32768	768	4	warmup	1	16.35106659731941	13.883489753984561	82	256
B28_32k_ub768	B28	28	40	q8_0	layer	32768	768	4	warmup	2	15.864809021474072	14.017379156943534	82	256
B28_32k_ub768	B28	28	40	q8_0	layer	32768	768	4	eval	1	16.285167533024858	48.50950905122349	1103	256
B28_32k_ub768	B28	28	40	q8_0	layer	32768	768	4	eval	2	16.28688430567199	48.60103699543542	1103	256
B28_32k_ub768	B28	28	40	q8_0	layer	32768	768	4	eval	3	16.285077404690472	48.68458274024285	1103	256
B28_32k_ub768	B28	28	40	q8_0	layer	32768	768	4	eval	4	16.28929585828109	48.600368860496715	1103	256
B28_32k_ub768	B28	28	40	q8_0	layer	32768	768	4	eval	5	16.293251023563034	48.66385295769015	1103	256
B28_32k_ub384	B28	28	40	q8_0	layer	32768	384	5	warmup	1	16.306697383558557	13.751416647464994	82	256
B28_32k_ub384	B28	28	40	q8_0	layer	32768	384	5	warmup	2	15.970522408264946	13.868199339467814	82	256
B28_32k_ub384	B28	28	40	q8_0	layer	32768	384	5	eval	1	16.389385158617877	36.19253246007501	1103	256
B28_32k_ub384	B28	28	40	q8_0	layer	32768	384	5	eval	2	16.38110120033159	36.119837433879084	1103	256
B28_32k_ub384	B28	28	40	q8_0	layer	32768	384	5	eval	3	16.38445509462471	36.17374759303557	1103	256
B28_32k_ub384	B28	28	40	q8_0	layer	32768	384	5	eval	4	16.384451948722553	36.150085980177295	1103	256
B28_32k_ub384	B28	28	40	q8_0	layer	32768	384	5	eval	5	16.37941481213515	36.142053671441204	1103	256
B28_32k_ub256	B28	28	40	q8_0	layer	32768	256	6	warmup	1	16.061931797398557	13.836332386500732	82	256
B28_32k_ub256	B28	28	40	q8_0	layer	32768	256	6	warmup	2	15.578287955890078	14.048762569573498	82	256
B28_32k_ub256	B28	28	40	q8_0	layer	32768	256	6	eval	1	15.914400418747661	26.14967347640042	1103	256
B28_32k_ub256	B28	28	40	q8_0	layer	32768	256	6	eval	2	15.922876552239444	26.12831380393877	1103	256
B28_32k_ub256	B28	28	40	q8_0	layer	32768	256	6	eval	3	15.894260452168117	26.22502488405353	1103	256
B28_32k_ub256	B28	28	40	q8_0	layer	32768	256	6	eval	4	15.915068243626123	26.15129412749337	1103	256
B28_32k_ub256	B28	28	40	q8_0	layer	32768	256	6	eval	5	15.909130032217853	26.141653157380812	1103	256
B28_32k_ub128	B28	28	40	q8_0	layer	32768	128	7	warmup	1	16.193735782247895	13.925935084083777	82	256
B28_32k_ub128	B28	28	40	q8_0	layer	32768	128	7	warmup	2	15.708298853821884	14.013024251589155	82	256
B28_32k_ub128	B28	28	40	q8_0	layer	32768	128	7	eval	1	16.109496245983955	17.467820134030283	1103	256
B28_32k_ub128	B28	28	40	q8_0	layer	32768	128	7	eval	2	16.11783243611782	17.49005445416664	1103	256
B28_32k_ub128	B28	28	40	q8_0	layer	32768	128	7	eval	3	16.101784411070003	17.469856657212777	1103	256
B28_32k_ub128	B28	28	40	q8_0	layer	32768	128	7	eval	4	16.11411614198853	17.472697405402652	1103	256
B28_32k_ub128	B28	28	40	q8_0	layer	32768	128	7	eval	5	16.124228107691454	17.475396210643325	1103	256
B28_32k_ub64	B28	28	40	q8_0	layer	32768	64	8	warmup	1	15.369537720327726	14.564772730376017	80	256
B28_32k_ub64	B28	28	40	q8_0	layer	32768	64	8	warmup	2	15.323642207080947	13.01124802061307	64	256
B28_32k_ub64	B28	28	40	q8_0	layer	32768	64	8	eval	1	15.53504673166587	12.018137618220676	1085	256
B28_32k_ub64	B28	28	40	q8_0	layer	32768	64	8	eval	2	15.48981768363572	12.01872883499083	1085	256
B28_32k_ub64	B28	28	40	q8_0	layer	32768	64	8	eval	3	15.491109313496967	12.007810499706972	1085	256
B28_32k_ub64	B28	28	40	q8_0	layer	32768	64	8	eval	4	15.483795421804595	12.010028074575212	1085	256
B28_32k_ub64	B28	28	40	q8_0	layer	32768	64	8	eval	5	15.479649642317298	12.018627787517174	1085	256
B28_32k_ub512z	B28	28	40	q8_0	layer	32768	512	9	warmup	1	16.550438625413662	13.654264481786939	83	256
B28_32k_ub512z	B28	28	40	q8_0	layer	32768	512	9	warmup	2	15.98653334397437	13.876862738934916	83	256
B28_32k_ub512z	B28	28	40	q8_0	layer	32768	512	9	eval	1	16.41548411058086	38.40902845962888	1104	256
B28_32k_ub512z	B28	28	40	q8_0	layer	32768	512	9	eval	2	16.41212802408685	38.4911188541947	1104	256
B28_32k_ub512z	B28	28	40	q8_0	layer	32768	512	9	eval	3	16.41136207317557	38.48772523947627	1104	256
B28_32k_ub512z	B28	28	40	q8_0	layer	32768	512	9	eval	4	16.414739949161756	38.48081238293023	1104	256
B28_32k_ub512z	B28	28	40	q8_0	layer	32768	512	9	eval	5	16.416804189465825	38.45050055307423	1104	256
