=== LONG START 2026-06-27T08:00:04+09:00 menu=1 max=7200s ===
Standard 5-minute test of 1: Bus=0x87:00 DevId=0x6860   16GB Radeon Instinct MI25 (RADV VEGA10)
      1 iteration. Passed  0.0871 seconds  written:   12.0GB 372.5GB/sec        checked:   15.0GB 273.1GB/sec
  21330 iteration. Passed 30.0425 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.4GB/sec
  21600 iteration. Passed 30.0430 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.4GB/sec
  21870 iteration. Passed 30.0693 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.1GB/sec
  22140 iteration. Passed 30.0597 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.1GB/sec
  22410 iteration. Passed 30.0944 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.0GB/sec
  22680 iteration. Passed 30.0858 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.0GB/sec
  22950 iteration. Passed 30.0790 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.0GB/sec
  23220 iteration. Passed 30.0981 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 225.9GB/sec
  23490 iteration. Passed 30.0652 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  23760 iteration. Passed 30.0519 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.4GB/sec
  24030 iteration. Passed 30.0556 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  24300 iteration. Passed 30.0237 seconds  written: 3240.0GB 267.2GB/sec        checked: 4050.0GB 226.3GB/sec
  24570 iteration. Passed 30.0609 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  24840 iteration. Passed 30.0704 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.1GB/sec
  25110 iteration. Passed 30.0683 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  25380 iteration. Passed 30.0696 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.2GB/sec
  25650 iteration. Passed 30.0388 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.3GB/sec
  25920 iteration. Passed 30.0577 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.1GB/sec
  26190 iteration. Passed 30.0669 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.0GB/sec
  26460 iteration. Passed 30.0448 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.1GB/sec
  26730 iteration. Passed 30.0603 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  27000 iteration. Passed 30.0919 seconds  written: 3240.0GB 266.0GB/sec        checked: 4050.0GB 226.1GB/sec
  27270 iteration. Passed 30.0888 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.0GB/sec
  27540 iteration. Passed 30.0802 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.0GB/sec
  27810 iteration. Passed 30.0909 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 225.8GB/sec
  28080 iteration. Passed 30.0547 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  28350 iteration. Passed 30.0402 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.3GB/sec
  28620 iteration. Passed 30.0245 seconds  written: 3240.0GB 267.2GB/sec        checked: 4050.0GB 226.3GB/sec
  28890 iteration. Passed 30.1049 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 225.8GB/sec
  29160 iteration. Passed 30.0125 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.7GB/sec
  29430 iteration. Passed 30.0622 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  29700 iteration. Passed 30.0143 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.6GB/sec
  29970 iteration. Passed 30.0866 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.1GB/sec
  30240 iteration. Passed 30.0815 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.1GB/sec
  30510 iteration. Passed 30.0834 seconds  written: 3240.0GB 265.9GB/sec        checked: 4050.0GB 226.3GB/sec
  30780 iteration. Passed 30.0566 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.3GB/sec
  31050 iteration. Passed 30.0633 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  31320 iteration. Passed 30.0750 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.1GB/sec
  31589 iteration. Passed 30.0077 seconds  written: 3228.0GB 266.0GB/sec        checked: 4035.0GB 225.8GB/sec
  31859 iteration. Passed 30.0909 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 225.9GB/sec
  32129 iteration. Passed 30.0528 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.1GB/sec
  32399 iteration. Passed 30.0496 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.1GB/sec
  32669 iteration. Passed 30.0276 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.3GB/sec
  32939 iteration. Passed 30.0020 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.7GB/sec
  33209 iteration. Passed 30.0412 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.3GB/sec
  33479 iteration. Passed 30.0851 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.1GB/sec
  33749 iteration. Passed 30.0919 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 226.1GB/sec
  34019 iteration. Passed 30.0742 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.0GB/sec
  34289 iteration. Passed 30.0700 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.2GB/sec
  34559 iteration. Passed 30.0303 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.6GB/sec
  34829 iteration. Passed 30.0559 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  35099 iteration. Passed 30.0586 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.1GB/sec
  35369 iteration. Passed 30.0800 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.0GB/sec
  35639 iteration. Passed 30.0544 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  35909 iteration. Passed 30.0898 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 225.9GB/sec
  36179 iteration. Passed 30.0621 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  36449 iteration. Passed 30.0735 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.0GB/sec
  36719 iteration. Passed 30.0285 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.4GB/sec
  36989 iteration. Passed 30.0300 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.4GB/sec
  37259 iteration. Passed 30.0610 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.2GB/sec
  37529 iteration. Passed 30.0503 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.2GB/sec
  37799 iteration. Passed 30.0704 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.1GB/sec
  38069 iteration. Passed 30.0781 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.1GB/sec
  38339 iteration. Passed 30.0625 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.3GB/sec
  38609 iteration. Passed 30.0651 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.3GB/sec
  38879 iteration. Passed 30.0625 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  39149 iteration. Passed 30.0700 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.2GB/sec
  39419 iteration. Passed 30.0886 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.0GB/sec
  39689 iteration. Passed 30.0920 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 225.9GB/sec
  39959 iteration. Passed 30.0915 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 225.8GB/sec
  40229 iteration. Passed 30.0647 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.2GB/sec
  40499 iteration. Passed 30.0388 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.2GB/sec
  40769 iteration. Passed 30.0366 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.3GB/sec
  41039 iteration. Passed 30.0015 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.8GB/sec
  41309 iteration. Passed 30.0157 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.5GB/sec
  41579 iteration. Passed 30.0503 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.3GB/sec
  41849 iteration. Passed 30.0628 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.2GB/sec
  42119 iteration. Passed 30.0660 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.3GB/sec
  42389 iteration. Passed 30.0662 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.3GB/sec
  42659 iteration. Passed 30.0582 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.3GB/sec
  42929 iteration. Passed 30.0649 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  43199 iteration. Passed 30.0595 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.1GB/sec
  43469 iteration. Passed 30.0660 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  43739 iteration. Passed 30.0688 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.2GB/sec
  44009 iteration. Passed 30.0550 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  44279 iteration. Passed 30.0579 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.1GB/sec
  44549 iteration. Passed 30.0124 seconds  written: 3240.0GB 267.3GB/sec        checked: 4050.0GB 226.4GB/sec
  44819 iteration. Passed 30.0089 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.5GB/sec
  45089 iteration. Passed 30.0172 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.4GB/sec
  45359 iteration. Passed 30.0299 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.4GB/sec
  45629 iteration. Passed 30.0293 seconds  written: 3240.0GB 267.3GB/sec        checked: 4050.0GB 226.1GB/sec
  45899 iteration. Passed 30.0192 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.6GB/sec
  46169 iteration. Passed 30.0478 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.2GB/sec
  46439 iteration. Passed 30.0623 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.2GB/sec
  46709 iteration. Passed 30.0650 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.3GB/sec
  46979 iteration. Passed 30.0224 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.5GB/sec
  47249 iteration. Passed 30.0669 seconds  written: 3240.0GB 266.0GB/sec        checked: 4050.0GB 226.4GB/sec
  47519 iteration. Passed 30.0600 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.2GB/sec
  47789 iteration. Passed 30.0214 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.5GB/sec
  48059 iteration. Passed 30.0489 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  48329 iteration. Passed 30.0506 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.1GB/sec
  48599 iteration. Passed 30.0791 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.0GB/sec
  48869 iteration. Passed 30.0435 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.4GB/sec
  49139 iteration. Passed 30.0147 seconds  written: 3240.0GB 267.2GB/sec        checked: 4050.0GB 226.4GB/sec
  49409 iteration. Passed 30.0497 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.2GB/sec
  49679 iteration. Passed 30.0006 seconds  written: 3240.0GB 267.4GB/sec        checked: 4050.0GB 226.5GB/sec
  49949 iteration. Passed 30.0446 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.4GB/sec
  50219 iteration. Passed 30.0682 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.1GB/sec
  50489 iteration. Passed 30.0632 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.3GB/sec
  50759 iteration. Passed 30.0657 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.2GB/sec
  51029 iteration. Passed 30.0279 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.3GB/sec
  51299 iteration. Passed 30.0767 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 225.9GB/sec
  51569 iteration. Passed 30.0825 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.1GB/sec
  51839 iteration. Passed 30.0718 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.2GB/sec
  52109 iteration. Passed 30.0740 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.0GB/sec
  52379 iteration. Passed 30.0781 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.2GB/sec
  52649 iteration. Passed 30.0806 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.1GB/sec
  52919 iteration. Passed 30.0476 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.3GB/sec
  53189 iteration. Passed 30.0093 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.6GB/sec
  53459 iteration. Passed 30.0352 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.4GB/sec
  53729 iteration. Passed 30.0756 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 226.3GB/sec
  53999 iteration. Passed 30.0551 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  54269 iteration. Passed 30.0461 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.2GB/sec
  54539 iteration. Passed 30.0529 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  54809 iteration. Passed 30.0503 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.3GB/sec
  55079 iteration. Passed 30.0630 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.2GB/sec
  55349 iteration. Passed 30.0599 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  55619 iteration. Passed 30.0789 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.0GB/sec
  55889 iteration. Passed 30.0763 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.1GB/sec
  56159 iteration. Passed 30.0666 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.2GB/sec
  56429 iteration. Passed 30.0759 seconds  written: 3240.0GB 266.0GB/sec        checked: 4050.0GB 226.3GB/sec
  56699 iteration. Passed 30.0575 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.2GB/sec
  56969 iteration. Passed 30.0207 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.4GB/sec
  57239 iteration. Passed 30.0332 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.3GB/sec
  57510 iteration. Passed 30.1098 seconds  written: 3252.0GB 267.2GB/sec        checked: 4065.0GB 226.6GB/sec
  57780 iteration. Passed 30.0412 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.4GB/sec
  58050 iteration. Passed 30.0241 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.3GB/sec
  58320 iteration. Passed 30.0562 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  58590 iteration. Passed 30.0540 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.1GB/sec
  58860 iteration. Passed 30.0534 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.0GB/sec
  59130 iteration. Passed 30.0362 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.3GB/sec
  59400 iteration. Passed 30.0268 seconds  written: 3240.0GB 267.0GB/sec        checked: 4050.0GB 226.4GB/sec
  59670 iteration. Passed 30.0458 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.2GB/sec
  59940 iteration. Passed 30.0141 seconds  written: 3240.0GB 267.2GB/sec        checked: 4050.0GB 226.4GB/sec
  60210 iteration. Passed 30.0505 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.3GB/sec
  60480 iteration. Passed 30.0684 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.1GB/sec
  60750 iteration. Passed 30.0576 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.2GB/sec
  61020 iteration. Passed 30.0207 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.4GB/sec
  61290 iteration. Passed 30.0381 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.3GB/sec
